id,matchday,date,home,away,fhg,fag
0,1,2016-08-13,BUR,SWA,0,1
1,1,2016-08-13,CRY,WBA,0,1
2,1,2016-08-13,EVE,TOT,1,1
3,1,2016-08-13,HUL,LEI,2,1
4,1,2016-08-13,MCI,SUN,2,1
5,1,2016-08-13,MID,STK,1,1
6,1,2016-08-13,SOU,WAT,1,1
7,1,2016-08-14,ARS,LIV,3,4
8,1,2016-08-14,BOU,MUN,1,3
9,1,2016-08-15,CHE,WHU,2,1
10,2,2016-08-19,MUN,SOU,2,0
11,2,2016-08-20,LEI,ARS,0,0
12,2,2016-08-20,BUR,LIV,2,0
13,2,2016-08-20,STK,MCI,1,4
14,2,2016-08-20,SWA,HUL,0,2
15,2,2016-08-20,TOT,CRY,1,0
16,2,2016-08-20,WAT,CHE,1,2
17,2,2016-08-20,WBA,EVE,1,2
18,2,2016-08-21,SUN,MID,1,2
19,2,2016-08-21,WHU,BOU,1,0
20,3,2016-08-27,CHE,BUR,3,0
21,3,2016-08-27,CRY,BOU,1,1
22,3,2016-08-27,EVE,STK,1,0
23,3,2016-08-27,HUL,MUN,0,1
24,3,2016-08-27,LEI,SWA,2,1
25,3,2016-08-27,SOU,SUN,1,1
26,3,2016-08-27,TOT,LIV,1,1
27,3,2016-08-27,WAT,ARS,1,3
28,3,2016-08-28,MCI,WHU,3,1
29,3,2016-08-28,WBA,MID,0,0
30,4,2016-09-10,MID,CRY,1,2
31,4,2016-09-10,STK,TOT,0,4
32,4,2016-09-10,WHU,WAT,2,4
33,4,2016-09-10,LIV,LEI,4,1
34,4,2016-09-10,BOU,WBA,1,0
35,4,2016-09-10,BUR,HUL,1,1
36,4,2016-09-10,MUN,MCI,1,2
37,4,2016-09-10,ARS,SOU,2,1
38,4,2016-09-11,SWA,CHE,2,2
39,4,2016-09-12,SUN,EVE,0,3
40,5,2016-09-16,CHE,LIV,1,2
41,5,2016-09-17,HUL,ARS,1,4
42,5,2016-09-17,MCI,BOU,4,0
43,5,2016-09-17,LEI,BUR,3,0
44,5,2016-09-17,WBA,WHU,4,2
45,5,2016-09-17,EVE,MID,3,1
46,5,2016-09-18,CRY,STK,4,1
47,5,2016-09-18,TOT,SUN,1,0
48,5,2016-09-18,SOU,SWA,1,0
49,5,2016-09-18,WAT,MUN,3,1
50,6,2016-09-24,STK,WBA,1,1
51,6,2016-09-24,ARS,CHE,3,0
52,6,2016-09-24,BOU,EVE,1,0
53,6,2016-09-24,MUN,LEI,4,1
54,6,2016-09-24,SUN,CRY,2,3
55,6,2016-09-24,LIV,HUL,5,1
56,6,2016-09-24,MID,TOT,1,2
57,6,2016-09-24,SWA,MCI,1,3
58,6,2016-09-25,WHU,SOU,0,3
59,6,2016-09-26,BUR,WAT,2,0
60,7,2016-09-30,EVE,CRY,1,1
61,7,2016-10-01,SWA,LIV,1,2
62,7,2016-10-01,WHU,MID,1,1
63,7,2016-10-01,SUN,WBA,1,1
64,7,2016-10-01,WAT,BOU,2,2
65,7,2016-10-01,HUL,CHE,0,2
66,7,2016-10-02,TOT,MCI,2,0
67,7,2016-10-02,BUR,ARS,0,1
68,7,2016-10-02,LEI,SOU,0,0
69,7,2016-10-02,MUN,STK,1,1
70,8,2016-10-15,WBA,TOT,1,1
71,8,2016-10-15,CHE,LEI,3,0
72,8,2016-10-15,STK,SUN,2,0
73,8,2016-10-15,ARS,SWA,3,2
74,8,2016-10-15,BOU,HUL,6,1
75,8,2016-10-15,CRY,WHU,0,1
76,8,2016-10-15,MCI,EVE,1,1
77,8,2016-10-16,MID,WAT,0,1
78,8,2016-10-16,SOU,BUR,3,1
79,8,2016-10-17,LIV,MUN,0,0
80,9,2016-10-22,LIV,WBA,2,1
81,9,2016-10-22,HUL,STK,0,2
82,9,2016-10-22,BUR,EVE,2,1
83,9,2016-10-22,SWA,WAT,0,0
84,9,2016-10-22,ARS,MID,0,0
85,9,2016-10-22,LEI,CRY,3,1
86,9,2016-10-22,WHU,SUN,1,0
87,9,2016-10-22,BOU,TOT,0,0
88,9,2016-10-23,MCI,SOU,1,1
89,9,2016-10-23,CHE,MUN,4,0
90,10,2016-10-29,SUN,ARS,1,4
91,10,2016-10-29,WAT,HUL,1,0
92,10,2016-10-29,CRY,LIV,2,4
93,10,2016-10-29,TOT,LEI,1,1
94,10,2016-10-29,MUN,BUR,0,0
95,10,2016-10-29,WBA,MCI,0,4
96,10,2016-10-29,MID,BOU,2,0
97,10,2016-10-30,SOU,CHE,0,2
98,10,2016-10-30,EVE,WHU,2,0
99,10,2016-10-31,STK,SWA,3,1
100,11,2016-11-05,CHE,EVE,5,0
101,11,2016-11-05,WHU,STK,1,1
102,11,2016-11-05,BUR,CRY,3,2
103,11,2016-11-05,BOU,SUN,1,2
104,11,2016-11-05,MCI,MID,1,1
105,11,2016-11-06,LIV,WAT,6,1
106,11,2016-11-06,HUL,SOU,2,1
107,11,2016-11-06,ARS,TOT,1,1
108,11,2016-11-06,SWA,MUN,1,3
109,11,2016-11-06,LEI,WBA,1,2
110,12,2016-11-19,STK,BOU,0,1
111,12,2016-11-19,EVE,SWA,1,1
112,12,2016-11-19,MUN,ARS,1,1
113,12,2016-11-19,TOT,WHU,3,2
114,12,2016-11-19,SUN,HUL,3,0
115,12,2016-11-19,CRY,MCI,1,2
116,12,2016-11-19,SOU,LIV,0,0
117,12,2016-11-19,WAT,LEI,2,1
118,12,2016-11-20,MID,CHE,0,1
119,12,2016-11-21,WBA,BUR,4,0
120,13,2016-11-26,HUL,WBA,1,1
121,13,2016-11-26,LEI,MID,2,2
122,13,2016-11-26,LIV,SUN,2,0
123,13,2016-11-26,BUR,MCI,1,2
124,13,2016-11-26,CHE,TOT,2,1
125,13,2016-11-26,SWA,CRY,5,4
126,13,2016-11-27,MUN,WHU,1,1
127,13,2016-11-27,ARS,BOU,3,1
128,13,2016-11-27,WAT,STK,0,1
129,13,2016-11-27,SOU,EVE,1,0
130,14,2016-12-03,SUN,LEI,2,1
131,14,2016-12-03,MCI,CHE,1,3
132,14,2016-12-03,STK,BUR,2,0
133,14,2016-12-03,CRY,SOU,3,0
134,14,2016-12-03,WBA,WAT,3,1
135,14,2016-12-03,WHU,ARS,1,5
136,14,2016-12-03,TOT,SWA,5,0
137,14,2016-12-04,EVE,MUN,1,1
138,14,2016-12-04,BOU,LIV,4,3
139,14,2016-12-05,MID,HUL,1,0
140,15,2016-12-10,WAT,EVE,3,2
141,15,2016-12-10,BUR,BOU,3,2
142,15,2016-12-10,ARS,STK,3,1
143,15,2016-12-10,LEI,MCI,4,2
144,15,2016-12-10,HUL,CRY,3,3
145,15,2016-12-10,SWA,SUN,3,0
146,15,2016-12-11,LIV,WHU,2,2
147,15,2016-12-11,SOU,MID,1,0
148,15,2016-12-11,CHE,WBA,1,0
149,15,2016-12-11,MUN,TOT,1,0
150,16,2016-12-13,BOU,LEI,1,0
151,16,2016-12-13,EVE,ARS,2,1
152,16,2016-12-14,WHU,BUR,1,0
153,16,2016-12-14,WBA,SWA,3,1
154,16,2016-12-14,CRY,MUN,1,2
155,16,2016-12-14,STK,SOU,0,0
156,16,2016-12-14,TOT,HUL,3,0
157,16,2016-12-14,MCI,WAT,2,0
158,16,2016-12-14,MID,LIV,0,3
159,16,2016-12-14,SUN,CHE,0,1
160,17,2016-12-17,MID,SWA,3,0
161,17,2016-12-17,WHU,HUL,1,0
162,17,2016-12-17,CRY,CHE,0,1
163,17,2016-12-17,SUN,WAT,1,0
164,17,2016-12-17,STK,LEI,2,2
165,17,2016-12-17,WBA,MUN,0,2
166,17,2016-12-18,TOT,BUR,2,1
167,17,2016-12-18,BOU,SOU,1,3
168,17,2016-12-18,MCI,ARS,2,1
169,17,2016-12-19,EVE,LIV,0,1
170,18,2016-12-26,BUR,MID,1,0
171,18,2016-12-26,CHE,BOU,3,0
172,18,2016-12-26,ARS,WBA,1,0
173,18,2016-12-26,MUN,SUN,3,1
174,18,2016-12-26,HUL,MCI,0,3
175,18,2016-12-26,LEI,EVE,0,2
176,18,2016-12-26,WAT,CRY,1,1
177,18,2016-12-26,SWA,WHU,1,4
178,18,2016-12-27,LIV,STK,4,1
179,18,2016-12-28,SOU,TOT,1,4
180,19,2016-12-30,HUL,EVE,2,2
181,19,2016-12-31,BUR,SUN,4,1
182,19,2016-12-31,CHE,STK,4,2
183,19,2016-12-31,LIV,MCI,1,0
184,19,2016-12-31,LEI,WHU,1,0
185,19,2016-12-31,SWA,BOU,0,3
186,19,2016-12-31,SOU,WBA,1,2
187,19,2016-12-31,MUN,MID,2,1
188,19,2017-01-01,WAT,TOT,1,4
189,19,2017-01-01,ARS,CRY,2,0
190,20,2017-01-02,MID,LEI,0,0
191,20,2017-01-02,SUN,LIV,2,2
192,20,2017-01-02,EVE,SOU,3,0
193,20,2017-01-02,MCI,BUR,2,1
194,20,2017-01-02,WHU,MUN,0,2
195,20,2017-01-02,WBA,HUL,3,1
196,20,2017-01-03,BOU,ARS,3,3
197,20,2017-01-03,CRY,SWA,1,2
198,20,2017-01-03,STK,WAT,2,0
199,20,2017-01-04,TOT,CHE,2,0
200,21,2017-01-14,WAT,MID,0,0
201,21,2017-01-14,HUL,BOU,3,1
202,21,2017-01-14,SUN,STK,1,3
203,21,2017-01-14,TOT,WBA,4,0
204,21,2017-01-14,LEI,CHE,0,3
205,21,2017-01-14,WHU,CRY,3,0
206,21,2017-01-14,SWA,ARS,0,4
207,21,2017-01-14,BUR,SOU,1,0
208,21,2017-01-15,MUN,LIV,1,1
209,21,2017-01-15,EVE,MCI,4,0
210,22,2017-01-21,MID,WHU,1,3
211,22,2017-01-21,CRY,EVE,0,1
212,22,2017-01-21,WBA,SUN,2,0
213,22,2017-01-21,BOU,WAT,2,2
214,22,2017-01-21,LIV,SWA,2,3
215,22,2017-01-21,MCI,TOT,2,2
216,22,2017-01-21,STK,MUN,1,1
217,22,2017-01-22,ARS,BUR,2,1
218,22,2017-01-22,CHE,HUL,2,0
219,22,2017-01-22,SOU,LEI,3,0
220,23,2017-01-31,MID,WBA,1,1
221,23,2017-01-31,SUN,TOT,0,0
222,23,2017-01-31,BOU,CRY,0,2
223,23,2017-01-31,LIV,CHE,1,1
224,23,2017-01-31,SWA,SOU,2,1
225,23,2017-01-31,ARS,WAT,1,2
226,23,2017-01-31,BUR,LEI,1,0
227,23,2017-02-01,WHU,MCI,0,4
228,23,2017-02-01,STK,EVE,1,1
229,23,2017-02-01,MUN,HUL,0,0
230,24,2017-02-04,TOT,MID,1,0
231,24,2017-02-04,CRY,SUN,0,4
232,24,2017-02-04,WAT,BUR,2,1
233,24,2017-02-04,WBA,STK,1,0
234,24,2017-02-04,SOU,WHU,1,3
235,24,2017-02-04,HUL,LIV,2,0
236,24,2017-02-04,CHE,ARS,3,1
237,24,2017-02-04,EVE,BOU,6,3
238,24,2017-02-05,MCI,SWA,2,1
239,24,2017-02-05,LEI,MUN,0,3
240,25,2017-02-11,SUN,SOU,0,4
241,25,2017-02-11,MID,EVE,0,0
242,25,2017-02-11,LIV,TOT,2,0
243,25,2017-02-11,WHU,WBA,2,2
244,25,2017-02-11,STK,CRY,1,0
