id,player_id,player_name,from_club,to_club,fee,date
trf_174915_2016,,Islam Slimani,,LEI,26.7,2016-08-31
trf_56818_2016,,Morgan Schneiderlin,MUN,EVE,19.8,2017-01-12
trf_73185_2016,,Lucas Pérez,,ARS,17.2,2016-08-30
trf_40423_2016,,Claudio Bravo,,MCI,15.5,2016-08-25
trf_61842_2016,,Andros Townsend,NEW,CRY,13.4,2016-07-01
trf_59631_2016,,Nacer Chadli,TOT,WBA,13.1,2016-08-29
trf_295331_2016,,Isaac Success,,WAT,12.9,2016-07-01
trf_157506_2016,,Jeffrey Schlupp,LEI,CRY,11.9,2017-01-13
trf_129078_2016,,Nathan Redmond,NOR,SOU,11.6,2016-07-01
trf_148262_2016,,Jeff Hendrick,DER,BUR,10.1,2016-08-31
trf_61592_2016,,James Tomkins,WHU,CRY,10.1,2016-07-05
trf_136610_2016,,Papy Djilobodji,CHE,SUN,8.2,2016-08-05
trf_42735_2016,,Sven Kums,,WAT,7.7,2016-08-29
trf_291422_2016,,Lys Mousset,,BOU,5.6,2016-07-01
trf_85864_2016,,Loris Karius,,LIV,5.3,2016-07-01
trf_108354_2016,,Jordan Ayew,AVL,SWA,5.0,2017-01-31
trf_63342_2016,,Leroy Fer,QPR,SWA,4.8,2016-07-05
trf_95976_2016,,Alex McCarthy,CRY,SOU,4.0,2016-08-01
trf_9500_2016,,David Marshall,CAR,HUL,3.5,2016-08-30
trf_298091_2016,,Harry Souttar,,STK,3.1,2016-09-29
trf_40204_2016,,Joe Hart,,MCI,0.0,2017-06-30
trf_42735_2016,,Sven Kums,,WAT,0.0,2017-06-30
trf_45314_2016,,Federico Fazio,,TOT,0.0,2017-06-30
trf_81999_2016,,Joselu,,STK,0.0,2017-06-30
trf_85383_2016,,Rubén Sobrino,,MCI,0.0,2017-06-30
