id,matchday,date,home,away,fhg,fag
0,1,2015-08-08,BOU,AVL,0,1
1,1,2015-08-08,CHE,SWA,2,2
2,1,2015-08-08,MUN,TOT,1,0
3,1,2015-08-08,LEI,SUN,4,2
4,1,2015-08-08,NOR,CRY,1,3
5,1,2015-08-08,EVE,WAT,2,2
6,1,2015-08-09,NEW,SOU,2,2
7,1,2015-08-09,ARS,WHU,0,2
8,1,2015-08-09,STK,LIV,0,1
9,1,2015-08-10,WBA,MCI,0,3
10,2,2015-08-14,AVL,MUN,0,1
11,2,2015-08-15,SWA,NEW,2,0
12,2,2015-08-15,SOU,EVE,0,3
13,2,2015-08-15,SUN,NOR,1,3
14,2,2015-08-15,TOT,STK,2,2
15,2,2015-08-15,WHU,LEI,1,2
16,2,2015-08-15,WAT,WBA,0,0
17,2,2015-08-16,MCI,CHE,3,0
18,2,2015-08-16,CRY,ARS,1,2
19,2,2015-08-17,LIV,BOU,1,0
20,3,2015-08-22,CRY,AVL,2,1
21,3,2015-08-22,NOR,STK,1,1
22,3,2015-08-22,WHU,BOU,3,4
23,3,2015-08-22,MUN,NEW,0,0
24,3,2015-08-22,SUN,SWA,1,1
25,3,2015-08-22,LEI,TOT,1,1
26,3,2015-08-23,WBA,CHE,2,3
27,3,2015-08-23,EVE,MCI,0,2
28,3,2015-08-23,WAT,SOU,0,0
29,3,2015-08-24,ARS,LIV,0,0
30,4,2015-08-29,BOU,LEI,1,1
31,4,2015-08-29,MCI,WAT,2,0
32,4,2015-08-29,STK,WBA,0,1
33,4,2015-08-29,AVL,SUN,2,2
34,4,2015-08-29,NEW,ARS,0,1
35,4,2015-08-29,LIV,WHU,0,3
36,4,2015-08-29,CHE,CRY,1,2
37,4,2015-08-29,TOT,EVE,0,0
38,4,2015-08-30,SOU,NOR,3,0
39,4,2015-08-30,SWA,MUN,2,1
40,5,2015-09-12,ARS,STK,2,0
41,5,2015-09-12,EVE,CHE,3,1
42,5,2015-09-12,CRY,MCI,0,1
43,5,2015-09-12,WAT,SWA,1,0
44,5,2015-09-12,NOR,BOU,3,1
45,5,2015-09-12,WBA,SOU,0,0
46,5,2015-09-12,MUN,LIV,3,1
47,5,2015-09-13,SUN,TOT,0,1
48,5,2015-09-13,LEI,AVL,3,2
49,5,2015-09-14,WHU,NEW,2,0
50,6,2015-09-19,AVL,WBA,0,1
51,6,2015-09-19,CHE,ARS,2,0
52,6,2015-09-19,NEW,WAT,1,2
53,6,2015-09-19,STK,LEI,2,2
54,6,2015-09-19,MCI,WHU,1,2
55,6,2015-09-19,BOU,SUN,2,0
56,6,2015-09-19,SWA,EVE,0,0
57,6,2015-09-20,LIV,NOR,1,1
58,6,2015-09-20,SOU,MUN,2,3
59,6,2015-09-20,TOT,CRY,1,0
60,7,2015-09-26,LIV,AVL,3,2
61,7,2015-09-26,NEW,CHE,2,2
62,7,2015-09-26,TOT,MCI,4,1
63,7,2015-09-26,STK,BOU,2,1
64,7,2015-09-26,LEI,ARS,2,5
65,7,2015-09-26,SOU,SWA,3,1
66,7,2015-09-26,MUN,SUN,3,0
67,7,2015-09-26,WHU,NOR,2,2
68,7,2015-09-27,WAT,CRY,0,1
69,7,2015-09-28,WBA,EVE,2,3
70,8,2015-10-03,CHE,SOU,1,3
71,8,2015-10-03,SUN,WHU,2,2
72,8,2015-10-03,NOR,LEI,1,2
73,8,2015-10-03,AVL,STK,0,1
74,8,2015-10-03,BOU,WAT,1,1
75,8,2015-10-03,MCI,NEW,6,1
76,8,2015-10-03,CRY,WBA,2,0
77,8,2015-10-04,ARS,MUN,3,0
78,8,2015-10-04,EVE,LIV,1,1
79,8,2015-10-04,SWA,TOT,2,2
80,9,2015-10-17,MCI,BOU,5,1
81,9,2015-10-17,SOU,LEI,2,2
82,9,2015-10-17,EVE,MUN,0,3
83,9,2015-10-17,WAT,ARS,0,3
84,9,2015-10-17,CHE,AVL,2,0
85,9,2015-10-17,CRY,WHU,1,3
86,9,2015-10-17,TOT,LIV,0,0
87,9,2015-10-17,WBA,SUN,1,0
88,9,2015-10-18,NEW,NOR,6,2
89,9,2015-10-19,SWA,STK,0,1
90,10,2015-10-24,STK,WAT,0,2
91,10,2015-10-24,ARS,EVE,2,1
92,10,2015-10-24,AVL,SWA,1,2
93,10,2015-10-24,LEI,CRY,1,0
94,10,2015-10-24,WHU,CHE,2,1
95,10,2015-10-24,NOR,WBA,0,1
96,10,2015-10-25,BOU,TOT,1,5
97,10,2015-10-25,MUN,MCI,0,0
98,10,2015-10-25,LIV,SOU,1,1
99,10,2015-10-25,SUN,NEW,3,0
100,11,2015-10-31,CHE,LIV,1,3
101,11,2015-10-31,CRY,MUN,0,0
102,11,2015-10-31,WBA,LEI,2,3
103,11,2015-10-31,SWA,ARS,0,3
104,11,2015-10-31,MCI,NOR,2,1
105,11,2015-10-31,NEW,STK,0,0
106,11,2015-10-31,WAT,WHU,2,0
107,11,2015-11-01,EVE,SUN,6,2
108,11,2015-11-01,SOU,BOU,2,0
109,11,2015-11-02,TOT,AVL,3,1
110,12,2015-11-07,LEI,WAT,2,1
111,12,2015-11-07,WHU,EVE,1,1
112,12,2015-11-07,BOU,NEW,0,1
113,12,2015-11-07,SUN,SOU,0,1
114,12,2015-11-07,MUN,WBA,2,0
115,12,2015-11-07,NOR,SWA,1,0
116,12,2015-11-07,STK,CHE,1,0
117,12,2015-11-08,AVL,MCI,0,0
118,12,2015-11-08,ARS,TOT,1,1
119,12,2015-11-08,LIV,CRY,1,2
120,13,2015-11-21,CHE,NOR,1,0
121,13,2015-11-21,SWA,BOU,2,2
122,13,2015-11-21,SOU,STK,0,1
123,13,2015-11-21,NEW,LEI,0,3
124,13,2015-11-21,MCI,LIV,1,4
125,13,2015-11-21,WAT,MUN,1,2
126,13,2015-11-21,WBA,ARS,2,1
127,13,2015-11-21,EVE,AVL,4,0
128,13,2015-11-22,TOT,WHU,4,1
129,13,2015-11-23,CRY,SUN,0,1
130,14,2015-11-28,AVL,WAT,2,3
131,14,2015-11-28,LEI,MUN,1,1
132,14,2015-11-28,BOU,EVE,3,3
133,14,2015-11-28,MCI,SOU,3,1
134,14,2015-11-28,CRY,NEW,5,1
135,14,2015-11-28,SUN,STK,2,0
136,14,2015-11-29,NOR,ARS,1,1
137,14,2015-11-29,TOT,CHE,0,0
138,14,2015-11-29,WHU,WBA,1,1
139,14,2015-11-29,LIV,SWA,1,0
140,15,2015-12-05,MUN,WHU,0,0
141,15,2015-12-05,SOU,AVL,1,1
142,15,2015-12-05,ARS,SUN,3,1
143,15,2015-12-05,WAT,NOR,2,0
144,15,2015-12-05,CHE,BOU,0,1
145,15,2015-12-05,SWA,LEI,0,3
146,15,2015-12-05,WBA,TOT,1,1
147,15,2015-12-05,STK,MCI,2,0
148,15,2015-12-06,NEW,LIV,2,0
149,15,2015-12-07,EVE,CRY,1,1
150,16,2015-12-12,BOU,MUN,2,1
151,16,2015-12-12,MCI,SWA,2,1
152,16,2015-12-12,SUN,WAT,0,1
153,16,2015-12-12,CRY,SOU,1,0
154,16,2015-12-12,WHU,STK,0,0
155,16,2015-12-12,NOR,EVE,1,1
156,16,2015-12-13,LIV,WBA,2,2
157,16,2015-12-13,AVL,ARS,0,2
158,16,2015-12-13,TOT,NEW,1,2
159,16,2015-12-14,LEI,CHE,2,1
160,17,2015-12-19,EVE,LEI,2,3
161,17,2015-12-19,CHE,SUN,3,1
162,17,2015-12-19,STK,CRY,1,2
163,17,2015-12-19,WBA,BOU,1,2
164,17,2015-12-19,MUN,NOR,1,2
165,17,2015-12-19,NEW,AVL,1,1
166,17,2015-12-19,SOU,TOT,0,2
167,17,2015-12-20,SWA,WHU,0,0
168,17,2015-12-20,WAT,LIV,3,0
169,17,2015-12-21,ARS,MCI,2,1
170,18,2015-12-26,MCI,SUN,4,1
171,18,2015-12-26,LIV,LEI,1,0
172,18,2015-12-26,CHE,WAT,2,2
173,18,2015-12-26,AVL,WHU,1,1
174,18,2015-12-26,SOU,ARS,4,0
