id,player_id,player_name,from_club,to_club,fee,date
trf_56818_2015,,Morgan Schneiderlin,SOU,MUN,30.1,2015-07-13
trf_130756_2015,,Giannelli Imbula,,STK,20.9,2016-02-01
trf_71292_2015,,Jonjo Shelvey,SWA,NEW,13.8,2016-01-12
trf_42710_2015,,Toby Alderweireld,,TOT,13.8,2015-07-08
trf_61842_2015,,Andros Townsend,TOT,NEW,13.5,2016-01-27
trf_241119_2015,,Clinton N'Jie,,TOT,12.1,2015-08-15
trf_108354_2015,,Jordan Ayew,,AVL,10.3,2015-07-27
trf_103565_2015,,Wahbi Khazri,,SUN,10.1,2016-01-30
trf_241229_2015,,Jordan Amavi,,AVL,9.5,2015-07-18
trf_33873_2015,,Asmir Begovic,STK,CHE,9.5,2015-07-13
trf_48002_2015,,Angelo Ogbonna,,WHU,9.5,2015-07-10
trf_79642_2015,,Shinji Okazaki,,LEI,9.5,2015-07-01
trf_28140_2015,,Max Gradel,,BOU,8.6,2015-08-04
trf_164771_2015,,Jordan Veretout,,AVL,8.6,2015-07-31
trf_63494_2015,,Étienne Capoue,TOT,WAT,7.7,2015-07-06
trf_55619_2015,,Nordin Amrabat,,WAT,7.2,2016-01-18
trf_42412_2015,,Jonny Evans,MUN,WBA,7.1,2015-08-29
trf_134294_2015,,Danny Ings,BUR,LIV,7.1,2015-07-01
trf_81999_2015,,Joselu,,STK,6.9,2015-07-01
trf_19041_2015,,Gökhan Inler,,LEI,6.0,2015-08-19
trf_66100_2015,,Oriol Romeu,CHE,SOU,6.0,2015-08-12
trf_214056_2015,,Daniel Amartey,,LEI,5.7,2016-01-22
trf_101213_2015,,Pedro Obiang,,WHU,5.2,2015-07-01
trf_129476_2015,,Gerard Deulofeu,,EVE,5.2,2015-07-01
trf_95976_2015,,Alex McCarthy,QPR,CRY,4.2,2015-07-23
