id,matchday,date,home,away,fhg,fag
0,1,2019-08-09,LIV,NOR,4,1
1,1,2019-08-10,WHU,MCI,0,5
2,1,2019-08-10,CRY,EVE,0,0
3,1,2019-08-10,WAT,BHA,0,3
4,1,2019-08-10,BUR,SOU,3,0
5,1,2019-08-10,BOU,SHU,1,1
6,1,2019-08-10,TOT,AVL,3,1
7,1,2019-08-11,NEW,ARS,0,1
8,1,2019-08-11,MUN,CHE,4,0
9,1,2019-08-11,LEI,WOL,0,0
10,2,2019-08-17,MCI,TOT,2,2
11,2,2019-08-17,ARS,BUR,2,1
12,2,2019-08-17,NOR,NEW,3,1
13,2,2019-08-17,SOU,LIV,1,2
14,2,2019-08-17,BHA,WHU,1,1
15,2,2019-08-17,AVL,BOU,1,2
16,2,2019-08-17,EVE,WAT,1,0
17,2,2019-08-18,SHU,CRY,1,0
18,2,2019-08-18,CHE,LEI,1,1
19,2,2019-08-19,WOL,MUN,1,1
20,3,2019-08-23,AVL,EVE,2,0
21,3,2019-08-24,LIV,ARS,3,1
22,3,2019-08-24,NOR,CHE,2,3
23,3,2019-08-24,WAT,WHU,1,3
24,3,2019-08-24,SHU,LEI,1,2
25,3,2019-08-24,BHA,SOU,0,2
26,3,2019-08-24,MUN,CRY,1,2
27,3,2019-08-25,BOU,MCI,1,3
28,3,2019-08-25,TOT,NEW,0,1
29,3,2019-08-25,WOL,BUR,1,1
30,4,2019-08-31,SOU,MUN,1,1
31,4,2019-08-31,BUR,LIV,0,3
32,4,2019-08-31,WHU,NOR,2,0
33,4,2019-08-31,NEW,WAT,1,1
34,4,2019-08-31,MCI,BHA,4,0
35,4,2019-08-31,CHE,SHU,2,2
36,4,2019-08-31,CRY,AVL,1,0
37,4,2019-08-31,LEI,BOU,3,1
38,4,2019-09-01,ARS,TOT,2,2
39,4,2019-09-01,EVE,WOL,3,2
40,5,2019-09-14,NOR,MCI,3,2
41,5,2019-09-14,LIV,NEW,3,1
42,5,2019-09-14,TOT,CRY,4,0
43,5,2019-09-14,SHU,SOU,0,1
44,5,2019-09-14,WOL,CHE,2,5
45,5,2019-09-14,BHA,BUR,1,1
46,5,2019-09-14,MUN,LEI,1,0
47,5,2019-09-15,BOU,EVE,3,1
48,5,2019-09-15,WAT,ARS,2,2
49,5,2019-09-16,AVL,WHU,0,0
50,6,2019-09-20,SOU,BOU,1,3
51,6,2019-09-21,NEW,BHA,0,0
52,6,2019-09-21,LEI,TOT,2,1
53,6,2019-09-21,MCI,WAT,8,0
54,6,2019-09-21,BUR,NOR,2,0
55,6,2019-09-21,EVE,SHU,0,2
56,6,2019-09-22,CHE,LIV,1,2
57,6,2019-09-22,WHU,MUN,2,0
58,6,2019-09-22,ARS,AVL,3,2
59,6,2019-09-22,CRY,WOL,1,1
60,7,2019-09-28,EVE,MCI,1,3
61,7,2019-09-28,SHU,LIV,0,1
62,7,2019-09-28,WOL,WAT,2,0
63,7,2019-09-28,TOT,SOU,2,1
64,7,2019-09-28,CHE,BHA,2,0
65,7,2019-09-28,BOU,WHU,2,2
66,7,2019-09-28,CRY,NOR,2,0
67,7,2019-09-28,AVL,BUR,2,2
68,7,2019-09-29,LEI,NEW,5,0
69,7,2019-09-30,MUN,ARS,1,1
70,8,2019-10-05,WAT,SHU,0,0
71,8,2019-10-05,WHU,CRY,1,2
72,8,2019-10-05,NOR,AVL,1,5
73,8,2019-10-05,BHA,TOT,3,0
74,8,2019-10-05,LIV,LEI,2,1
75,8,2019-10-05,BUR,EVE,1,0
76,8,2019-10-06,NEW,MUN,1,0
77,8,2019-10-06,SOU,CHE,1,4
78,8,2019-10-06,ARS,BOU,1,0
79,8,2019-10-06,MCI,WOL,0,2
80,9,2019-10-19,TOT,WAT,1,1
81,9,2019-10-19,WOL,SOU,1,1
82,9,2019-10-19,CRY,MCI,0,2
83,9,2019-10-19,LEI,BUR,2,1
84,9,2019-10-19,EVE,WHU,2,0
85,9,2019-10-19,AVL,BHA,2,1
86,9,2019-10-19,CHE,NEW,1,0
87,9,2019-10-19,BOU,NOR,0,0
88,9,2019-10-20,MUN,LIV,1,1
89,9,2019-10-21,SHU,ARS,1,0
90,10,2019-10-25,SOU,LEI,0,9
91,10,2019-10-26,WAT,BOU,0,0
92,10,2019-10-26,WHU,SHU,1,1
93,10,2019-10-26,BUR,CHE,2,4
94,10,2019-10-26,MCI,AVL,3,0
95,10,2019-10-26,BHA,EVE,3,2
96,10,2019-10-27,NOR,MUN,1,3
97,10,2019-10-27,NEW,WOL,1,1
98,10,2019-10-27,ARS,CRY,2,2
99,10,2019-10-27,LIV,TOT,2,1
100,11,2019-11-02,WAT,CHE,1,2
101,11,2019-11-02,MCI,SOU,2,1
102,11,2019-11-02,SHU,BUR,3,0
103,11,2019-11-02,WHU,NEW,2,3
104,11,2019-11-02,BHA,NOR,2,0
105,11,2019-11-02,ARS,WOL,1,1
106,11,2019-11-02,AVL,LIV,1,2
107,11,2019-11-02,BOU,MUN,1,0
108,11,2019-11-03,EVE,TOT,1,1
109,11,2019-11-03,CRY,LEI,0,2
110,12,2019-11-08,NOR,WAT,0,2
111,12,2019-11-09,TOT,SHU,1,1
112,12,2019-11-09,SOU,EVE,1,2
113,12,2019-11-09,NEW,BOU,2,1
114,12,2019-11-09,LEI,ARS,2,0
115,12,2019-11-09,BUR,WHU,3,0
116,12,2019-11-09,CHE,CRY,2,0
117,12,2019-11-10,WOL,AVL,2,1
118,12,2019-11-10,LIV,MCI,3,1
119,12,2019-11-10,MUN,BHA,3,1
120,13,2019-11-23,WHU,TOT,2,3
121,13,2019-11-23,WAT,BUR,0,3
122,13,2019-11-23,MCI,CHE,2,1
123,13,2019-11-23,BHA,LEI,0,2
124,13,2019-11-23,CRY,LIV,1,2
125,13,2019-11-23,EVE,NOR,0,2
126,13,2019-11-23,ARS,SOU,2,2
127,13,2019-11-23,BOU,WOL,1,2
128,13,2019-11-24,SHU,MUN,3,3
129,13,2019-11-25,AVL,NEW,2,0
130,14,2019-11-30,TOT,BOU,3,2
131,14,2019-11-30,SOU,WAT,2,1
132,14,2019-11-30,NEW,MCI,2,2
133,14,2019-11-30,LIV,BHA,2,1
134,14,2019-11-30,BUR,CRY,0,2
135,14,2019-11-30,CHE,WHU,0,1
136,14,2019-12-01,WOL,SHU,1,1
137,14,2019-12-01,NOR,ARS,2,2
138,14,2019-12-01,MUN,AVL,2,2
139,14,2019-12-01,LEI,EVE,2,1
140,15,2019-12-03,CRY,BOU,1,0
141,15,2019-12-03,BUR,MCI,1,4
142,15,2019-12-04,LIV,EVE,5,2
143,15,2019-12-04,SOU,NOR,2,1
144,15,2019-12-04,CHE,AVL,2,1
145,15,2019-12-04,LEI,WAT,2,0
146,15,2019-12-04,MUN,TOT,2,1
147,15,2019-12-04,WOL,WHU,2,0
148,15,2019-12-05,ARS,BHA,1,2
149,15,2019-12-05,SHU,NEW,0,2
150,16,2019-12-07,WAT,CRY,0,0
151,16,2019-12-07,TOT,BUR,5,0
152,16,2019-12-07,BOU,LIV,0,3
153,16,2019-12-07,EVE,CHE,3,1
154,16,2019-12-07,MCI,MUN,1,2
155,16,2019-12-08,NOR,SHU,1,2
156,16,2019-12-08,NEW,SOU,2,1
157,16,2019-12-08,BHA,WOL,2,2
158,16,2019-12-08,AVL,LEI,1,4
159,16,2019-12-09,WHU,ARS,1,3
160,17,2019-12-14,SOU,WHU,0,1
161,17,2019-12-14,SHU,AVL,2,0
162,17,2019-12-14,LEI,NOR,1,1
163,17,2019-12-14,BUR,NEW,1,0
164,17,2019-12-14,LIV,WAT,2,0
165,17,2019-12-14,CHE,BOU,0,1
166,17,2019-12-15,WOL,TOT,1,2
167,17,2019-12-15,MUN,EVE,1,1
168,17,2019-12-15,ARS,MCI,0,3
169,17,2019-12-16,CRY,BHA,1,1
170,18,2019-12-21,NOR,WOL,1,2
171,18,2019-12-21,NEW,CRY,1,0
172,18,2019-12-21,BHA,SHU,0,1
173,18,2019-12-21,BOU,BUR,0,1
174,18,2019-12-21,EVE,ARS,0,0
175,18,2019-12-21,AVL,SOU,1,3
176,18,2019-12-21,MCI,LEI,3,1
177,18,2019-12-22,WAT,MUN,2,0
178,18,2019-12-22,TOT,CHE,0,2
179,19,2019-12-26,TOT,BHA,2,1
180,19,2019-12-26,MUN,NEW,4,1
181,19,2019-12-26,SHU,WAT,1,1
182,19,2019-12-26,LEI,LIV,0,4
183,19,2019-12-26,BOU,ARS,1,1
184,19,2019-12-26,CHE,SOU,0,2
185,19,2019-12-26,AVL,NOR,1,0
186,19,2019-12-26,CRY,WHU,2,1
187,19,2019-12-26,EVE,BUR,1,0
188,19,2019-12-27,WOL,MCI,3,2
189,20,2019-12-28,WHU,LEI,1,2
190,20,2019-12-28,NOR,TOT,2,2
191,20,2019-12-28,WAT,AVL,3,0
192,20,2019-12-28,SOU,CRY,1,1
193,20,2019-12-28,BHA,BOU,2,0
194,20,2019-12-28,BUR,MUN,0,2
195,20,2019-12-28,NEW,EVE,1,2
196,20,2019-12-29,ARS,CHE,1,2
197,20,2019-12-29,MCI,SHU,2,0
198,20,2019-12-29,LIV,WOL,1,0
199,21,2020-01-01,WAT,WOL,2,1
200,21,2020-01-01,SOU,TOT,1,0
201,21,2020-01-01,WHU,BOU,4,0
202,21,2020-01-01,NEW,LEI,0,3
203,21,2020-01-01,MCI,EVE,2,1
204,21,2020-01-01,NOR,CRY,1,1
205,21,2020-01-01,BHA,CHE,1,1
206,21,2020-01-01,ARS,MUN,2,0
207,21,2020-01-01,BUR,AVL,1,2
208,21,2020-01-02,LIV,SHU,2,0
209,22,2020-01-10,SHU,WHU,1,0
210,22,2020-01-11,WOL,NEW,1,1
211,22,2020-01-11,MUN,NOR,4,0
212,22,2020-01-11,TOT,LIV,0,1
213,22,2020-01-11,CRY,ARS,1,1
214,22,2020-01-11,LEI,SOU,1,2
215,22,2020-01-11,CHE,BUR,3,0
216,22,2020-01-11,EVE,BHA,1,0
217,22,2020-01-12,AVL,MCI,1,6
218,22,2020-01-12,BOU,WAT,0,3
219,23,2020-01-18,WHU,EVE,1,1
220,23,2020-01-18,WAT,TOT,0,0
221,23,2020-01-18,NOR,BOU,1,0
222,23,2020-01-18,SOU,WOL,2,3
223,23,2020-01-18,BHA,AVL,1,1
224,23,2020-01-18,ARS,SHU,1,1
225,23,2020-01-18,NEW,CHE,1,0
226,23,2020-01-18,MCI,CRY,2,2
227,23,2020-01-19,LIV,MUN,2,0
228,23,2020-01-19,BUR,LEI,2,1
229,24,2020-01-21,CRY,SOU,0,2
230,24,2020-01-21,SHU,MCI,0,1
231,24,2020-01-21,AVL,WAT,2,1
232,24,2020-01-21,BOU,BHA,3,1
233,24,2020-01-21,EVE,NEW,2,2
234,24,2020-01-21,CHE,ARS,2,2
235,24,2020-01-22,LEI,WHU,4,1
236,24,2020-01-22,TOT,NOR,2,1
237,24,2020-01-22,MUN,BUR,0,2
238,24,2020-01-23,WOL,LIV,1,2
239,18,2020-01-29,WHU,LIV,0,2
240,25,2020-02-01,LEI,CHE,2,2
241,25,2020-02-01,LIV,SOU,4,0
242,25,2020-02-01,BOU,AVL,2,1
243,25,2020-02-01,WHU,BHA,3,3
244,25,2020-02-01,WAT,EVE,2,3
245,25,2020-02-01,NEW,NOR,0,0
246,25,2020-02-01,CRY,SHU,0,1
247,25,2020-02-01,MUN,WOL,0,0
248,25,2020-02-02,TOT,MCI,2,0
249,25,2020-02-02,BUR,ARS,0,0
250,26,2020-02-08,EVE,CRY,3,1
251,26,2020-02-08,BHA,WAT,1,1
252,26,2020-02-09,SHU,BOU,2,1
253,26,2020-02-14,WOL,LEI,0,0
254,26,2020-02-15,SOU,BUR,1,2
255,26,2020-02-15,NOR,LIV,0,1
256,26,2020-02-16,AVL,TOT,2,3
257,26,2020-02-16,ARS,NEW,4,0
258,26,2020-02-17,CHE,MUN,0,2
259,26,2020-02-19,MCI,WHU,2,0
260,27,2020-02-22,SHU,BHA,1,1
261,27,2020-02-22,CRY,NEW,1,0
262,27,2020-02-22,SOU,AVL,2,0
263,27,2020-02-22,CHE,TOT,2,1
264,27,2020-02-22,BUR,BOU,3,0
265,27,2020-02-22,LEI,MCI,0,1
266,27,2020-02-23,ARS,EVE,3,2
267,27,2020-02-23,MUN,WAT,3,0
268,27,2020-02-23,WOL,NOR,3,0
269,27,2020-02-24,LIV,WHU,3,2
270,28,2020-02-28,NOR,LEI,1,0
271,28,2020-02-29,WHU,SOU,3,1
272,28,2020-02-29,WAT,LIV,3,0
273,28,2020-02-29,BHA,CRY,0,1
274,28,2020-02-29,NEW,BUR,0,0
275,28,2020-02-29,BOU,CHE,2,2
276,28,2020-03-01,TOT,WOL,2,3
277,28,2020-03-01,EVE,MUN,1,1
278,29,2020-03-07,ARS,WHU,1,0
279,29,2020-03-07,CRY,WAT,1,0
