id,player_id,player_name,from_club,to_club,fee,date
trf_134294_2019,,Danny Ings,LIV,SOU,21.6,2019-07-01
trf_265078_2019,,Patrick Cutrone,,WOL,15.5,2019-07-30
trf_485424_2019,,Moussa Djenepo,,SOU,13.5,2019-07-01
trf_324882_2019,,Marvelous Nakamba,,AVL,10.3,2019-08-01
trf_559794_2019,,Jack Clarke,LEE,TOT,9.5,2019-07-02
trf_53360_2019,,Jay Rodríguez,WBA,BUR,8.6,2019-07-09
trf_415646_2019,,Bruno Jordão,,WOL,7.7,2019-08-02
trf_183720_2019,,Anwar El Ghazi,,AVL,7.7,2019-07-01
trf_121477_2019,,Craig Dawson,WBA,WAT,5.2,2019-07-01
trf_51321_2019,,Darren Randolph,MID,WHU,4.0,2020-01-15
trf_233124_2019,,Kortney Hause,WOL,AVL,2.9,2019-07-01
trf_45333_2019,,James McCarthy,EVE,CRY,2.8,2019-08-08
trf_108354_2019,,Jordan Ayew,SWA,CRY,2.4,2019-07-25
trf_82863_2019,,Lukas Rupp,,NOR,0.4,2020-01-13
trf_56810_2019,,Adrien Silva,,LEI,0.0,2020-06-30
trf_173900_2019,,Hélder Costa,LEE,WOL,0.0,2020-06-30
trf_174915_2019,,Islam Slimani,,LEI,0.0,2020-06-30
trf_182618_2019,,Tiemoué Bakayoko,,CHE,0.0,2020-06-30
trf_286919_2019,,Josh Sims,,SOU,0.0,2020-06-30
trf_371814_2019,,Nathaniel Phillips,,LIV,0.0,2020-06-30
trf_56100_2019,,Leon Balogun,WIG,BHA,0.0,2020-05-31
trf_236510_2019,,Sheyi Ojo,,LIV,0.0,2020-05-31
trf_246963_2019,,Carlton Morris,,NOR,0.0,2020-05-31
trf_258879_2019,,Cameron Borthwick-Jackson,OLD,MUN,0.0,2020-05-31
trf_504581_2019,,Ryan Giles,COV,WOL,0.0,2020-05-31
