id,matchday,date,home,away,fhg,fag
0,1,2022-08-05,CRY,ARS,0,2
1,1,2022-08-06,FUL,LIV,2,2
2,1,2022-08-06,TOT,SOU,4,1
3,1,2022-08-06,NEW,NFO,2,0
4,1,2022-08-06,LEE,WOL,2,1
5,1,2022-08-06,BOU,AVL,2,0
6,1,2022-08-06,EVE,CHE,0,1
7,1,2022-08-07,LEI,BRE,2,2
8,1,2022-08-07,MUN,BHA,1,2
9,1,2022-08-07,WHU,MCI,0,2
10,2,2022-08-13,WOL,FUL,0,0
11,2,2022-08-13,SOU,LEE,2,2
12,2,2022-08-13,MCI,BOU,4,0
13,2,2022-08-13,BHA,NEW,0,0
14,2,2022-08-13,BRE,MUN,4,0
15,2,2022-08-13,AVL,EVE,2,1
16,2,2022-08-13,ARS,LEI,4,2
17,2,2022-08-14,NFO,WHU,1,0
18,2,2022-08-14,CHE,TOT,2,2
19,2,2022-08-15,LIV,CRY,1,1
20,3,2022-08-20,BOU,ARS,0,3
21,3,2022-08-20,CRY,AVL,3,1
22,3,2022-08-20,EVE,NFO,1,1
23,3,2022-08-20,FUL,BRE,3,2
24,3,2022-08-20,LEI,SOU,1,2
25,3,2022-08-20,TOT,WOL,1,0
26,3,2022-08-21,LEE,CHE,3,0
27,3,2022-08-21,NEW,MCI,3,3
28,3,2022-08-21,WHU,BHA,0,2
29,3,2022-08-22,MUN,LIV,2,1
30,4,2022-08-27,ARS,FUL,2,1
31,4,2022-08-27,BRE,EVE,1,1
32,4,2022-08-27,BHA,LEE,1,0
33,4,2022-08-27,CHE,LEI,2,1
34,4,2022-08-27,LIV,BOU,9,0
35,4,2022-08-27,MCI,CRY,4,2
36,4,2022-08-27,SOU,MUN,0,1
37,4,2022-08-28,AVL,WHU,0,1
38,4,2022-08-28,NFO,TOT,0,2
39,4,2022-08-28,WOL,NEW,1,1
40,5,2022-08-30,FUL,BHA,2,1
41,5,2022-08-30,LEE,EVE,1,1
42,5,2022-08-30,CRY,BRE,1,1
43,5,2022-08-30,SOU,CHE,2,1
44,5,2022-08-31,BOU,WOL,0,0
45,5,2022-08-31,ARS,AVL,2,1
46,5,2022-08-31,WHU,TOT,1,1
47,5,2022-08-31,LIV,NEW,2,1
48,5,2022-08-31,MCI,NFO,6,0
49,5,2022-09-01,LEI,MUN,0,1
50,6,2022-09-03,AVL,MCI,1,1
51,6,2022-09-03,BRE,LEE,5,2
52,6,2022-09-03,CHE,WHU,2,1
53,6,2022-09-03,EVE,LIV,0,0
54,6,2022-09-03,NEW,CRY,0,0
55,6,2022-09-03,NFO,BOU,2,3
56,6,2022-09-03,TOT,FUL,2,1
57,6,2022-09-03,WOL,SOU,1,0
58,6,2022-09-04,BHA,LEI,5,2
59,6,2022-09-04,MUN,ARS,3,1
60,8,2022-09-16,AVL,SOU,1,0
61,8,2022-09-16,NFO,FUL,2,3
62,8,2022-09-17,NEW,BOU,1,1
63,8,2022-09-17,TOT,LEI,6,2
64,8,2022-09-17,WOL,MCI,0,3
65,8,2022-09-18,BRE,ARS,0,3
66,8,2022-09-18,EVE,WHU,1,0
67,9,2022-10-01,BOU,BRE,0,0
68,9,2022-10-01,ARS,TOT,3,1
69,9,2022-10-01,CRY,CHE,1,2
70,9,2022-10-01,FUL,NEW,1,4
71,9,2022-10-01,LIV,BHA,3,3
72,9,2022-10-01,SOU,EVE,1,2
73,9,2022-10-01,WHU,WOL,2,0
74,9,2022-10-02,LEE,AVL,0,0
75,9,2022-10-02,MCI,MUN,6,3
76,9,2022-10-03,LEI,NFO,4,0
77,10,2022-10-08,BOU,LEI,2,1
78,10,2022-10-08,BHA,TOT,0,1
79,10,2022-10-08,CHE,WOL,3,0
80,10,2022-10-08,MCI,SOU,4,0
81,10,2022-10-08,NEW,BRE,5,1
82,10,2022-10-09,ARS,LIV,3,2
83,10,2022-10-09,CRY,LEE,2,1
84,10,2022-10-09,EVE,MUN,1,2
85,10,2022-10-09,WHU,FUL,3,1
86,10,2022-10-10,NFO,AVL,1,1
87,11,2022-10-14,BRE,BHA,2,0
88,11,2022-10-15,FUL,BOU,2,2
89,11,2022-10-15,LEI,CRY,0,0
90,11,2022-10-15,TOT,EVE,2,0
91,11,2022-10-15,WOL,NFO,1,0
92,11,2022-10-16,AVL,CHE,0,2
93,11,2022-10-16,LEE,ARS,0,1
94,11,2022-10-16,LIV,MCI,1,0
95,11,2022-10-16,MUN,NEW,0,0
96,11,2022-10-16,SOU,WHU,1,1
97,12,2022-10-18,BHA,NFO,0,0
98,12,2022-10-18,CRY,WOL,2,1
99,12,2022-10-19,BOU,SOU,0,1
100,12,2022-10-19,BRE,CHE,0,0
101,12,2022-10-19,NEW,EVE,1,0
102,12,2022-10-19,LIV,WHU,1,0
103,12,2022-10-19,MUN,TOT,2,0
104,12,2022-10-20,FUL,AVL,3,0
105,12,2022-10-20,LEI,LEE,2,0
106,13,2022-10-22,CHE,MUN,1,1
107,13,2022-10-22,EVE,CRY,3,0
108,13,2022-10-22,MCI,BHA,3,1
109,13,2022-10-22,NFO,LIV,1,0
110,13,2022-10-23,AVL,BRE,4,0
111,13,2022-10-23,LEE,FUL,2,3
112,13,2022-10-23,SOU,ARS,1,1
113,13,2022-10-23,TOT,NEW,1,2
114,13,2022-10-23,WOL,LEI,0,4
115,13,2022-10-24,WHU,BOU,2,0
116,14,2022-10-29,BOU,TOT,2,3
117,14,2022-10-29,BRE,WOL,1,1
118,14,2022-10-29,BHA,CHE,4,1
119,14,2022-10-29,CRY,SOU,1,0
120,14,2022-10-29,FUL,EVE,0,0
121,14,2022-10-29,LEI,MCI,0,1
122,14,2022-10-29,LIV,LEE,1,2
123,14,2022-10-29,NEW,AVL,4,0
124,14,2022-10-30,ARS,NFO,5,0
125,14,2022-10-30,MUN,WHU,1,0
126,15,2022-11-05,EVE,LEI,0,2
127,15,2022-11-05,LEE,BOU,4,3
128,15,2022-11-05,MCI,FUL,2,1
129,15,2022-11-05,NFO,BRE,2,2
130,15,2022-11-05,WOL,BHA,2,3
131,15,2022-11-06,AVL,MUN,3,1
132,15,2022-11-06,CHE,ARS,0,1
133,15,2022-11-06,SOU,NEW,1,4
134,15,2022-11-06,TOT,LIV,1,2
135,15,2022-11-06,WHU,CRY,1,2
136,16,2022-11-12,BOU,EVE,3,0
137,16,2022-11-12,LIV,SOU,3,1
138,16,2022-11-12,MCI,BRE,1,2
139,16,2022-11-12,NEW,CHE,1,0
140,16,2022-11-12,NFO,CRY,1,0
141,16,2022-11-12,TOT,LEE,4,3
142,16,2022-11-12,WHU,LEI,0,2
143,16,2022-11-12,WOL,ARS,0,2
144,16,2022-11-13,BHA,AVL,1,2
145,16,2022-11-13,FUL,MUN,1,2
146,17,2022-12-26,ARS,WHU,3,1
147,17,2022-12-26,AVL,LIV,1,3
148,17,2022-12-26,BRE,TOT,2,2
149,17,2022-12-26,CRY,FUL,0,3
150,17,2022-12-26,EVE,WOL,1,2
151,17,2022-12-26,LEI,NEW,0,3
152,17,2022-12-26,SOU,BHA,1,3
153,17,2022-12-27,CHE,BOU,2,0
154,17,2022-12-27,MUN,NFO,3,0
155,17,2022-12-28,LEE,MCI,1,3
156,18,2022-12-30,LIV,LEI,2,1
157,18,2022-12-30,WHU,BRE,0,2
158,18,2022-12-31,BOU,CRY,0,2
159,18,2022-12-31,BHA,ARS,2,4
160,18,2022-12-31,FUL,SOU,2,1
161,18,2022-12-31,MCI,EVE,1,1
162,18,2022-12-31,NEW,LEE,0,0
163,18,2022-12-31,WOL,MUN,0,1
164,18,2023-01-01,NFO,CHE,1,1
165,18,2023-01-01,TOT,AVL,0,2
166,19,2023-01-02,BRE,LIV,3,1
167,19,2023-01-03,ARS,NEW,0,0
168,19,2023-01-03,EVE,BHA,1,4
169,19,2023-01-03,LEI,FUL,0,1
170,19,2023-01-03,MUN,BOU,3,0
171,19,2023-01-04,AVL,WOL,1,1
172,19,2023-01-04,CRY,TOT,0,4
173,19,2023-01-04,LEE,WHU,2,2
174,19,2023-01-04,SOU,NFO,0,1
175,19,2023-01-05,CHE,MCI,0,1
176,7,2023-01-12,FUL,CHE,2,1
177,20,2023-01-13,AVL,LEE,2,1
178,20,2023-01-14,BRE,BOU,2,0
179,20,2023-01-14,BHA,LIV,3,0
180,20,2023-01-14,WOL,WHU,1,0
181,20,2023-01-14,NFO,LEI,2,0
182,20,2023-01-14,MUN,MCI,2,1
183,20,2023-01-14,EVE,SOU,1,2
184,20,2023-01-15,CHE,CRY,1,0
185,20,2023-01-15,TOT,ARS,0,2
186,20,2023-01-15,NEW,FUL,1,0
187,7,2023-01-18,CRY,MUN,1,1
188,7,2023-01-19,MCI,TOT,4,2
189,21,2023-01-21,BOU,NFO,1,1
190,21,2023-01-21,WHU,EVE,2,0
191,21,2023-01-21,SOU,AVL,0,1
192,21,2023-01-21,LIV,CHE,0,0
193,21,2023-01-21,LEI,BHA,2,2
194,21,2023-01-21,CRY,NEW,0,0
195,21,2023-01-22,ARS,MUN,3,2
196,21,2023-01-22,MCI,WOL,3,0
197,21,2023-01-22,LEE,BRE,0,0
198,21,2023-01-23,FUL,TOT,0,1
199,22,2023-02-03,CHE,FUL,0,0
200,22,2023-02-04,AVL,LEI,2,4
