id,player_id,player_name,from_club,to_club,fee,date
trf_80444_2022,,Philippe Coutinho,,AVL,17.2,2022-07-01
trf_298091_2022,,Harry Souttar,STK,LEI,14.6,2023-01-31
trf_134294_2022,,Danny Ings,AVL,WHU,10.3,2023-01-20
trf_506189_2022,,Flynn Downes,SWA,WHU,9.2,2022-07-07
trf_560694_2022,,Lewis O'Brien,HUD,NFO,8.1,2022-07-20
trf_680806_2022,,Samuel Edozie,,SOU,6.9,2022-09-01
trf_646738_2022,,Juan Larios,,SOU,6.0,2022-09-01
trf_71292_2022,,Jonjo Shelvey,NEW,NFO,5.6,2023-01-31
trf_74230_2022,,Pablo Sarabia,,WOL,4.3,2023-01-17
trf_121477_2022,,Craig Dawson,WHU,WOL,3.2,2023-01-22
trf_506470_2022,,Josh Bowler,BLP,NFO,2.0,2022-09-01
trf_324223_2022,,James Bree,LUT,SOU,0.7,2023-01-26
trf_128901_2022,,Conor Coady,EVE,WOL,0.0,2023-06-30
trf_173900_2022,,Hélder Costa,,LEE,0.0,2023-06-30
trf_182618_2022,,Tiemoué Bakayoko,,CHE,0.0,2023-06-30
trf_207929_2022,,Dele Alli,,EVE,0.0,2023-06-30
trf_232964_2022,,Emiliano Marcondes,,BOU,0.0,2023-06-30
trf_239949_2022,,Jamal Lowe,QPR,BOU,0.0,2023-06-30
trf_249126_2022,,Harry Winks,,TOT,0.0,2023-06-30
trf_251845_2022,,Sergi Canós,,BRE,0.0,2023-06-30
trf_415646_2022,,Bruno Jordão,,WOL,0.0,2023-06-30
trf_503769_2022,,Arthur Okonkwo,,ARS,0.0,2023-06-30
trf_649452_2022,,Issa Kaboré,,MCI,0.0,2023-06-30
trf_148262_2022,,Jeff Hendrick,REA,NEW,0.0,2023-05-31
trf_163744_2022,,Jack Stephens,BOU,SOU,0.0,2023-05-31
