id,matchday,date,home,away,fhg,fag
0,1,2017-08-11,ARS,LEI,4,3
1,1,2017-08-12,BHA,MCI,0,2
2,1,2017-08-12,CHE,BUR,2,3
3,1,2017-08-12,CRY,HUD,0,3
4,1,2017-08-12,EVE,STK,1,0
5,1,2017-08-12,SOU,SWA,0,0
6,1,2017-08-12,WAT,LIV,3,3
7,1,2017-08-12,WBA,BOU,1,0
8,1,2017-08-13,MUN,WHU,4,0
9,1,2017-08-13,NEW,TOT,0,2
10,2,2017-08-19,BOU,WAT,0,2
11,2,2017-08-19,BUR,WBA,0,1
12,2,2017-08-19,LEI,BHA,2,0
13,2,2017-08-19,LIV,CRY,1,0
14,2,2017-08-19,STK,ARS,1,0
15,2,2017-08-19,SWA,MUN,0,4
16,2,2017-08-19,SOU,WHU,3,2
17,2,2017-08-20,HUD,NEW,1,0
18,2,2017-08-20,TOT,CHE,1,2
19,2,2017-08-21,MCI,EVE,1,1
20,3,2017-08-26,BOU,MCI,1,2
21,3,2017-08-26,CRY,SWA,0,2
22,3,2017-08-26,HUD,SOU,0,0
23,3,2017-08-26,MUN,LEI,2,0
24,3,2017-08-26,NEW,WHU,3,0
25,3,2017-08-26,WAT,BHA,0,0
26,3,2017-08-27,CHE,EVE,2,0
27,3,2017-08-27,LIV,ARS,4,0
28,3,2017-08-27,TOT,BUR,1,1
29,3,2017-08-27,WBA,STK,1,1
30,4,2017-09-09,ARS,BOU,3,0
31,4,2017-09-09,BHA,WBA,3,1
32,4,2017-09-09,EVE,TOT,0,3
33,4,2017-09-09,LEI,CHE,1,2
34,4,2017-09-09,MCI,LIV,5,0
35,4,2017-09-09,SOU,WAT,0,2
36,4,2017-09-09,STK,MUN,2,2
37,4,2017-09-10,BUR,CRY,1,0
38,4,2017-09-10,SWA,NEW,0,1
39,4,2017-09-11,WHU,HUD,2,0
40,5,2017-09-15,BOU,BHA,2,1
41,5,2017-09-16,CRY,SOU,0,1
42,5,2017-09-16,HUD,LEI,1,1
43,5,2017-09-16,LIV,BUR,1,1
44,5,2017-09-16,NEW,STK,2,1
45,5,2017-09-16,TOT,SWA,0,0
46,5,2017-09-16,WAT,MCI,0,6
47,5,2017-09-16,WBA,WHU,0,0
48,5,2017-09-17,CHE,ARS,0,0
49,5,2017-09-17,MUN,EVE,4,0
50,6,2017-09-23,BUR,HUD,0,0
51,6,2017-09-23,EVE,BOU,2,1
