id,player_id,player_name,from_club,to_club,fee,date
trf_90466_2017,,Gylfi Sigurdsson,SWA,EVE,42.5,2017-08-16
trf_182618_2017,,Tiemoué Bakayoko,,CHE,34.4,2017-07-15
trf_47713_2017,,Mamadou Sakho,LIV,CRY,24.3,2017-08-31
trf_127032_2017,,Serge Aurier,,TOT,21.5,2017-08-31
trf_56810_2017,,Adrien Silva,,LEI,17.6,2017-08-31
trf_120565_2017,,Andre Gray,BUR,WAT,17.5,2017-08-09
trf_211325_2017,,Badou Ndiaye,,STK,13.8,2018-01-31
trf_65467_2017,,Vicente Iborra,,LEI,12.9,2017-07-06
trf_53360_2017,,Jay Rodríguez,SOU,WBA,11.8,2017-07-02
trf_79027_2017,,Davy Pröpper,,BHA,11.2,2017-08-07
trf_200777_2017,,Alex Pritchard,NOR,HUD,10.6,2018-01-12
trf_33873_2017,,Asmir Begovic,CHE,BOU,9.9,2017-07-01
trf_40613_2017,,Jack Cork,SWA,BUR,7.8,2017-07-11
trf_241481_2017,,Jaïro Riedewald,,CRY,7.7,2017-07-24
trf_199369_2017,,Sandro Ramírez,,EVE,5.2,2017-07-03
trf_81999_2017,,Joselu,STK,NEW,4.7,2017-08-16
trf_162029_2017,,Javier Manquillo,,NEW,4.3,2017-07-21
trf_90583_2017,,Laurent Depoitre,,HUD,3.3,2017-07-01
trf_257805_2017,,Mathias Normann,,BHA,1.2,2017-07-20
trf_28140_2017,,Max Gradel,,BOU,0.0,2018-06-30
trf_55619_2017,,Nordin Amrabat,,WAT,0.0,2018-06-30
trf_73185_2017,,Lucas Pérez,,ARS,0.0,2018-06-30
trf_74228_2017,,Marc Muniesa,,STK,0.0,2018-06-30
trf_130756_2017,,Giannelli Imbula,,STK,0.0,2018-06-30
trf_131708_2017,,Kenneth Omeruo,,CHE,0.0,2018-06-30
