id,player_id,player_name,from_club,to_club,fee,date
trf_665390_2024,,Jaden Philogene,AVL,IPS,20.4,2025-01-15
trf_406638_2024,,Oliver Skipp,TOT,LEI,20.2,2024-08-19
trf_503977_2024,,Taylor Harwood-Bellis,MCI,SOU,19.8,2024-07-01
trf_926135_2024,,Omari Kellyman,,CHE,19.4,2024-07-01
trf_693095_2024,,Jacob Greaves,HUL,IPS,18.5,2024-07-12
trf_506189_2024,,Flynn Downes,WHU,SOU,15.4,2024-07-16
trf_559794_2024,,Jack Clarke,SUN,IPS,15.2,2024-08-24
trf_533662_2024,,Cameron Archer,AVL,SOU,15.1,2024-08-16
trf_533662_2024,,Cameron Archer,,AVL,14.3,2024-07-11
trf_864121_2024,,Abdul Fatawu,,LEI,14.0,2024-07-01
trf_665390_2024,,Jaden Philogene,HUL,AVL,13.8,2024-07-19
trf_461833_2024,,Caleb Okoli,,LEI,12.0,2024-07-09
trf_108354_2024,,Jordan Ayew,CRY,LEI,5.1,2024-08-23
trf_936842_2024,,Michael Golding,,LEI,5.1,2024-07-07
trf_986298_2024,,Joachim Kayi Sanda,,SOU,4.3,2025-01-09
trf_503990_2024,,Nathan Wood,SWA,SOU,3.0,2024-07-05
trf_732165_2024,,Ronnie Edwards,,SOU,3.0,2024-07-03
trf_146509_2024,,Conor Townsend,WBA,IPS,0.5,2024-08-01
trf_80444_2024,,Philippe Coutinho,,AVL,0.0,2025-06-30
trf_157506_2024,,Jeffrey Schlupp,,CRY,0.0,2025-06-30
trf_288323_2024,,Marcus Harness,DER,IPS,0.0,2025-06-30
trf_298091_2024,,Harry Souttar,,LEI,0.0,2025-06-30
trf_392777_2024,,Jonathan Panzo,,NFO,0.0,2025-06-30
trf_528892_2024,,Harry Clarke,,IPS,0.0,2025-06-30
trf_649452_2024,,Issa Kaboré,,MCI,0.0,2025-06-30
