id,matchday,date,home,away,fhg,fag
138,14,2024-12-05,BOU,TOT,1,0
139,14,2024-12-05,FUL,BHA,3,1
140,15,2024-12-07,AVL,SOU,1,0
141,15,2024-12-07,BRE,NEW,4,2
142,15,2024-12-07,CRY,MCI,2,2
143,15,2024-12-07,MUN,NFO,2,3
144,15,2024-12-08,FUL,ARS,1,1
145,15,2024-12-08,IPS,BOU,1,2
146,15,2024-12-08,TOT,CHE,3,4
147,15,2024-12-08,LEI,BHA,2,2
148,15,2024-12-09,WHU,WOL,2,1
149,16,2024-12-14,ARS,EVE,0,0
150,16,2024-12-14,LIV,FUL,2,2
151,16,2024-12-14,NEW,LEI,4,0
152,16,2024-12-14,NFO,AVL,2,1
153,16,2024-12-14,WOL,IPS,1,2
154,16,2024-12-15,BHA,CRY,1,3
155,16,2024-12-15,CHE,BRE,2,1
156,16,2024-12-15,MCI,MUN,1,2
157,16,2024-12-15,SOU,TOT,0,5
158,16,2024-12-16,BOU,WHU,1,1
159,17,2024-12-21,AVL,MCI,2,1
160,17,2024-12-21,BRE,NFO,0,2
161,17,2024-12-21,CRY,ARS,1,5
162,17,2024-12-21,IPS,NEW,0,4
163,17,2024-12-21,WHU,BHA,1,1
164,17,2024-12-22,EVE,CHE,0,0
165,17,2024-12-22,FUL,SOU,0,0
166,17,2024-12-22,LEI,WOL,0,3
167,17,2024-12-22,MUN,BOU,0,3
168,17,2024-12-22,TOT,LIV,3,6
169,18,2024-12-26,BOU,CRY,0,0
170,18,2024-12-26,CHE,FUL,1,2
171,18,2024-12-26,LIV,LEI,3,1
172,18,2024-12-26,MCI,EVE,1,1
173,18,2024-12-26,NEW,AVL,3,0
174,18,2024-12-26,NFO,TOT,1,0
175,18,2024-12-26,SOU,WHU,0,1
176,18,2024-12-26,WOL,MUN,2,0
177,18,2024-12-27,ARS,IPS,1,0
178,18,2024-12-27,BHA,BRE,0,0
179,19,2024-12-29,CRY,SOU,2,1
180,19,2024-12-29,EVE,NFO,0,2
181,19,2024-12-29,FUL,BOU,2,2
182,19,2024-12-29,LEI,MCI,0,2
183,19,2024-12-29,TOT,WOL,2,2
184,19,2024-12-29,WHU,LIV,0,5
185,19,2024-12-30,AVL,BHA,2,2
186,19,2024-12-30,IPS,CHE,2,0
187,19,2024-12-30,MUN,NEW,0,2
188,19,2025-01-01,BRE,ARS,1,3
189,20,2025-01-04,BOU,EVE,1,0
190,20,2025-01-04,AVL,LEI,2,1
191,20,2025-01-04,BHA,ARS,1,1
192,20,2025-01-04,MCI,WHU,4,1
193,20,2025-01-04,CRY,CHE,1,1
194,20,2025-01-04,SOU,BRE,0,5
195,20,2025-01-04,TOT,NEW,1,2
196,20,2025-01-05,FUL,IPS,2,2
197,20,2025-01-05,LIV,MUN,2,2
198,20,2025-01-06,WOL,NFO,0,3
199,21,2025-01-14,BRE,MCI,2,2
200,21,2025-01-14,NFO,LIV,1,1
201,21,2025-01-14,WHU,FUL,3,2
202,21,2025-01-14,CHE,BOU,2,2
203,21,2025-01-15,ARS,TOT,2,1
204,21,2025-01-15,EVE,AVL,0,1
205,21,2025-01-15,LEI,CRY,0,2
206,21,2025-01-15,NEW,WOL,3,0
207,21,2025-01-16,IPS,BHA,0,2
208,21,2025-01-16,MUN,SOU,3,1
209,22,2025-01-18,ARS,AVL,2,2
210,22,2025-01-18,BRE,LIV,0,2
211,22,2025-01-18,LEI,FUL,0,2
212,22,2025-01-18,NEW,BOU,1,4
213,22,2025-01-18,WHU,CRY,0,2
214,22,2025-01-19,EVE,TOT,3,2
215,22,2025-01-19,IPS,MCI,0,6
216,22,2025-01-19,MUN,BHA,1,3
217,22,2025-01-19,NFO,SOU,3,2
