id,player_id,player_name,from_club,to_club,fee,date
trf_302215_2018,,Naby Keïta,,LIV,51.6,2018-07-01
trf_215876_2018,,Ricardo Pereira,,LEI,18.9,2018-07-01
trf_45026_2018,,Rui Patrício,,WOL,15.5,2018-07-01
trf_34322_2018,,Sokratis Papastathopoulos,,ARS,13.8,2018-07-02
trf_293168_2018,,Filip Benkovic,,LEI,12.5,2018-08-09
trf_129476_2018,,Gerard Deulofeu,,WAT,11.2,2018-07-01
trf_66934_2018,,Cheikhou Kouyaté,WHU,CRY,9.2,2018-08-02
trf_68645_2018,,Martín Montoya,,BHA,6.0,2018-08-09
trf_73185_2018,,Lucas Pérez,ARS,WHU,3.8,2018-08-09
trf_40204_2018,,Joe Hart,MCI,BUR,3.4,2018-08-07
trf_42412_2018,,Jonny Evans,WBA,LEI,3.4,2018-07-01
trf_391719_2018,,Domingos Quina,,WAT,0.9,2018-08-09
trf_131708_2018,,Kenneth Omeruo,,CHE,0.0,2019-06-30
trf_134294_2018,,Danny Ings,SOU,LIV,0.0,2019-06-30
trf_174915_2018,,Islam Slimani,,LEI,0.0,2019-06-30
trf_176485_2018,,Lucas Piazón,,CHE,0.0,2019-06-30
trf_182618_2018,,Tiemoué Bakayoko,,CHE,0.0,2019-06-30
trf_199369_2018,,Sandro Ramírez,,EVE,0.0,2019-06-30
trf_233124_2018,,Kortney Hause,AVL,WOL,0.0,2019-06-30
trf_236510_2018,,Sheyi Ojo,,LIV,0.0,2019-06-30
trf_293168_2018,,Filip Benkovic,,LEI,0.0,2019-06-30
trf_314295_2018,,Reece Oxford,,WHU,0.0,2019-06-30
trf_55742_2018,,Harry Arter,CAR,BOU,0.0,2019-05-31
trf_77001_2018,,Rajiv van La Parra,MID,HUD,0.0,2019-05-31
trf_157509_2018,,Kurt Zouma,EVE,CHE,0.0,2019-05-31
