id,matchday,date,home,away,fhg,fag
0,1,2018-08-10,MUN,LEI,2,1
1,1,2018-08-11,BOU,CAR,2,0
2,1,2018-08-11,FUL,CRY,0,2
3,1,2018-08-11,HUD,CHE,0,3
4,1,2018-08-11,NEW,TOT,1,2
5,1,2018-08-11,WAT,BHA,2,0
6,1,2018-08-11,WOL,EVE,2,2
7,1,2018-08-12,ARS,MCI,0,2
8,1,2018-08-12,LIV,WHU,4,0
9,1,2018-08-12,SOU,BUR,0,0
10,2,2018-08-18,CAR,NEW,0,0
11,2,2018-08-18,CHE,ARS,3,2
12,2,2018-08-18,EVE,SOU,2,1
13,2,2018-08-18,LEI,WOL,2,0
14,2,2018-08-18,TOT,FUL,3,1
15,2,2018-08-18,WHU,BOU,1,2
16,2,2018-08-19,BHA,MUN,3,2
17,2,2018-08-19,BUR,WAT,1,3
18,2,2018-08-19,MCI,HUD,6,1
19,2,2018-08-20,CRY,LIV,0,2
20,3,2018-08-25,ARS,WHU,3,1
21,3,2018-08-25,BOU,EVE,2,2
22,3,2018-08-25,HUD,CAR,0,0
23,3,2018-08-25,LIV,BHA,1,0
24,3,2018-08-25,SOU,LEI,1,2
25,3,2018-08-25,WOL,MCI,1,1
26,3,2018-08-26,FUL,BUR,4,2
27,3,2018-08-26,NEW,CHE,1,2
28,3,2018-08-26,WAT,CRY,2,1
29,3,2018-08-27,MUN,TOT,0,3
30,4,2018-09-01,BHA,FUL,2,2
31,4,2018-09-01,CHE,BOU,2,0
32,4,2018-09-01,CRY,SOU,0,2
33,4,2018-09-01,EVE,HUD,1,1
34,4,2018-09-01,LEI,LIV,1,2
35,4,2018-09-01,MCI,NEW,2,1
36,4,2018-09-01,WHU,WOL,0,1
37,4,2018-09-02,BUR,MUN,0,2
38,4,2018-09-02,CAR,ARS,2,3
39,4,2018-09-02,WAT,TOT,2,1
40,5,2018-09-15,BOU,LEI,4,2
41,5,2018-09-15,CHE,CAR,4,1
42,5,2018-09-15,HUD,CRY,0,1
43,5,2018-09-15,MCI,FUL,3,0
44,5,2018-09-15,NEW,ARS,1,2
45,5,2018-09-15,TOT,LIV,1,2
46,5,2018-09-15,WAT,MUN,1,2
47,5,2018-09-16,EVE,WHU,1,3
48,5,2018-09-16,WOL,BUR,1,0
49,5,2018-09-17,SOU,BHA,2,2
50,6,2018-09-22,BHA,TOT,1,2
51,6,2018-09-22,BUR,BOU,4,0
52,6,2018-09-22,CAR,MCI,0,5
53,6,2018-09-22,CRY,NEW,0,0
54,6,2018-09-22,FUL,WAT,1,1
55,6,2018-09-22,LEI,HUD,3,1
56,6,2018-09-22,LIV,SOU,3,0
57,6,2018-09-22,MUN,WOL,1,1
58,6,2018-09-23,ARS,EVE,2,0
59,6,2018-09-23,WHU,CHE,0,0
60,7,2018-09-29,ARS,WAT,2,0
61,7,2018-09-29,CHE,LIV,1,1
62,7,2018-09-29,EVE,FUL,3,0
63,7,2018-09-29,HUD,TOT,0,2
64,7,2018-09-29,MCI,BHA,2,0
65,7,2018-09-29,NEW,LEI,0,2
66,7,2018-09-29,WHU,MUN,3,1
67,7,2018-09-29,WOL,SOU,2,0
68,7,2018-09-30,CAR,BUR,1,2
69,7,2018-10-01,BOU,CRY,2,1
70,8,2018-10-05,BHA,WHU,1,0
71,8,2018-10-06,BUR,HUD,1,1
72,8,2018-10-06,CRY,WOL,0,1
73,8,2018-10-06,LEI,EVE,1,2
74,8,2018-10-06,MUN,NEW,3,2
75,8,2018-10-06,TOT,CAR,1,0
76,8,2018-10-06,WAT,BOU,0,4
77,8,2018-10-07,FUL,ARS,1,5
78,8,2018-10-07,LIV,MCI,0,0
79,8,2018-10-07,SOU,CHE,0,3
80,9,2018-10-20,BOU,SOU,0,0
81,9,2018-10-20,CAR,FUL,4,2
82,9,2018-10-20,CHE,MUN,2,2
83,9,2018-10-20,HUD,LIV,0,1
84,9,2018-10-20,MCI,BUR,5,0
85,9,2018-10-20,NEW,BHA,0,1
86,9,2018-10-20,WHU,TOT,0,1
87,9,2018-10-20,WOL,WAT,0,2
88,9,2018-10-21,EVE,CRY,2,0
89,9,2018-10-22,ARS,LEI,3,1
90,10,2018-10-27,BHA,WOL,1,0
91,10,2018-10-27,FUL,BOU,0,3
92,10,2018-10-27,LEI,WHU,1,1
93,10,2018-10-27,LIV,CAR,4,1
94,10,2018-10-27,SOU,NEW,0,0
95,10,2018-10-27,WAT,HUD,3,0
96,10,2018-10-28,BUR,CHE,0,4
97,10,2018-10-28,CRY,ARS,2,2
98,10,2018-10-28,MUN,EVE,2,1
99,10,2018-10-29,TOT,MCI,0,1
100,11,2018-11-03,ARS,LIV,1,1
101,11,2018-11-03,BOU,MUN,1,2
102,11,2018-11-03,CAR,LEI,0,1
103,11,2018-11-03,EVE,BHA,3,1
104,11,2018-11-03,NEW,WAT,1,0
105,11,2018-11-03,WHU,BUR,4,2
106,11,2018-11-03,WOL,TOT,2,3
107,11,2018-11-04,CHE,CRY,3,1
108,11,2018-11-04,MCI,SOU,6,1
109,11,2018-11-05,HUD,FUL,1,0
110,12,2018-11-10,CAR,BHA,2,1
111,12,2018-11-10,CRY,TOT,0,1
112,12,2018-11-10,HUD,WHU,1,1
113,12,2018-11-10,LEI,BUR,0,0
114,12,2018-11-10,NEW,BOU,2,1
115,12,2018-11-10,SOU,WAT,1,1
116,12,2018-11-11,ARS,WOL,1,1
117,12,2018-11-11,CHE,EVE,0,0
118,12,2018-11-11,LIV,FUL,2,0
119,12,2018-11-11,MCI,MUN,3,1
120,13,2018-11-24,BHA,LEI,1,1
121,13,2018-11-24,EVE,CAR,1,0
122,13,2018-11-24,FUL,SOU,3,2
123,13,2018-11-24,MUN,CRY,0,0
124,13,2018-11-24,TOT,CHE,3,1
125,13,2018-11-24,WAT,LIV,0,3
126,13,2018-11-24,WHU,MCI,0,4
127,13,2018-11-25,BOU,ARS,1,2
