id,matchday,date,home,away,fhg,fag
0,1,2020-09-12,CRY,SOU,1,0
1,1,2020-09-12,FUL,ARS,0,3
2,1,2020-09-12,LIV,LEE,4,3
3,1,2020-09-12,WHU,NEW,0,2
4,1,2020-09-13,TOT,EVE,0,1
5,1,2020-09-13,WBA,LEI,0,3
6,1,2020-09-14,BHA,CHE,1,3
7,1,2020-09-14,SHU,WOL,0,2
8,2,2020-09-19,ARS,WHU,2,1
9,2,2020-09-19,EVE,WBA,5,2
10,2,2020-09-19,LEE,FUL,4,3
11,2,2020-09-19,MUN,CRY,1,3
12,2,2020-09-20,CHE,LIV,0,2
13,2,2020-09-20,LEI,BUR,4,2
14,2,2020-09-20,NEW,BHA,0,3
15,2,2020-09-20,SOU,TOT,2,5
16,2,2020-09-21,AVL,SHU,1,0
17,2,2020-09-21,WOL,MCI,1,3
18,3,2020-09-26,BHA,MUN,2,3
19,3,2020-09-26,BUR,SOU,0,1
20,3,2020-09-26,CRY,EVE,1,2
21,3,2020-09-26,WBA,CHE,3,3
22,3,2020-09-27,MCI,LEI,2,5
23,3,2020-09-27,SHU,LEE,0,1
24,3,2020-09-27,TOT,NEW,1,1
25,3,2020-09-27,WHU,WOL,4,0
26,3,2020-09-28,LIV,ARS,3,1
27,3,2020-09-28,FUL,AVL,0,3
28,4,2020-10-03,CHE,CRY,4,0
29,4,2020-10-03,EVE,BHA,4,2
30,4,2020-10-03,LEE,MCI,1,1
31,4,2020-10-03,NEW,BUR,3,1
32,4,2020-10-04,ARS,SHU,2,1
33,4,2020-10-04,AVL,LIV,7,2
34,4,2020-10-04,LEI,WHU,0,3
35,4,2020-10-04,MUN,TOT,1,6
36,4,2020-10-04,SOU,WBA,2,0
37,4,2020-10-04,WOL,FUL,1,0
38,5,2020-10-17,CHE,SOU,3,3
39,5,2020-10-17,EVE,LIV,2,2
40,5,2020-10-17,MCI,ARS,1,0
41,5,2020-10-17,NEW,MUN,1,4
42,5,2020-10-18,CRY,BHA,1,1
43,5,2020-10-18,LEI,AVL,0,1
44,5,2020-10-18,SHU,FUL,1,1
45,5,2020-10-18,TOT,WHU,3,3
46,5,2020-10-19,LEE,WOL,0,1
47,5,2020-10-19,WBA,BUR,0,0
48,6,2020-10-23,AVL,LEE,0,3
49,6,2020-10-24,FUL,CRY,1,2
50,6,2020-10-24,LIV,SHU,2,1
51,6,2020-10-24,MUN,CHE,0,0
52,6,2020-10-24,WHU,MCI,1,1
53,6,2020-10-25,ARS,LEI,0,1
54,6,2020-10-25,SOU,EVE,2,0
55,6,2020-10-25,WOL,NEW,1,1
56,6,2020-10-26,BHA,WBA,1,1
57,6,2020-10-26,BUR,TOT,0,1
58,7,2020-10-30,WOL,CRY,2,0
59,7,2020-10-31,BUR,CHE,0,3
60,7,2020-10-31,LIV,WHU,2,1
61,7,2020-10-31,SHU,MCI,0,1
62,7,2020-11-01,AVL,SOU,3,4
63,7,2020-11-01,MUN,ARS,0,1
64,7,2020-11-01,NEW,EVE,2,1
65,7,2020-11-01,TOT,BHA,2,1
66,7,2020-11-02,FUL,WBA,2,0
67,7,2020-11-02,LEE,LEI,1,4
68,8,2020-11-06,BHA,BUR,0,0
69,8,2020-11-06,SOU,NEW,2,0
70,8,2020-11-07,CHE,SHU,4,1
71,8,2020-11-07,CRY,LEE,4,1
72,8,2020-11-07,EVE,MUN,1,3
73,8,2020-11-07,WHU,FUL,1,0
74,8,2020-11-08,ARS,AVL,0,3
75,8,2020-11-08,LEI,WOL,1,0
76,8,2020-11-08,MCI,LIV,1,1
77,8,2020-11-08,WBA,TOT,0,1
78,9,2020-11-21,AVL,BHA,1,2
79,9,2020-11-21,MUN,WBA,1,0
80,9,2020-11-21,NEW,CHE,0,2
81,9,2020-11-21,TOT,MCI,2,0
82,9,2020-11-22,FUL,EVE,2,3
83,9,2020-11-22,LEE,ARS,0,0
84,9,2020-11-22,LIV,LEI,3,0
85,9,2020-11-22,SHU,WHU,0,1
86,9,2020-11-23,BUR,CRY,1,0
87,9,2020-11-23,WOL,SOU,1,1
88,10,2020-11-27,CRY,NEW,0,2
89,10,2020-11-28,BHA,LIV,1,1
90,10,2020-11-28,EVE,LEE,0,1
91,10,2020-11-28,MCI,BUR,5,0
92,10,2020-11-28,WBA,SHU,1,0
93,10,2020-11-29,ARS,WOL,1,2
94,10,2020-11-29,CHE,TOT,0,0
95,10,2020-11-29,SOU,MUN,2,3
96,10,2020-11-30,LEI,FUL,1,2
97,10,2020-11-30,WHU,AVL,2,1
98,11,2020-12-05,BUR,EVE,1,1
99,11,2020-12-05,CHE,LEE,3,1
100,11,2020-12-05,MCI,FUL,2,0
101,11,2020-12-05,WHU,MUN,1,3
102,11,2020-12-06,LIV,WOL,4,0
103,11,2020-12-06,SHU,LEI,1,2
104,11,2020-12-06,TOT,ARS,2,0
105,11,2020-12-06,WBA,CRY,1,5
106,11,2020-12-07,BHA,SOU,1,2
107,12,2020-12-11,LEE,WHU,1,2
108,12,2020-12-12,EVE,CHE,1,0
109,12,2020-12-12,MUN,MCI,0,0
110,12,2020-12-12,NEW,WBA,2,1
111,12,2020-12-12,WOL,AVL,0,1
112,12,2020-12-13,ARS,BUR,0,1
113,12,2020-12-13,CRY,TOT,1,1
114,12,2020-12-13,FUL,LIV,1,1
115,12,2020-12-13,LEI,BHA,3,0
116,12,2020-12-13,SOU,SHU,3,0
117,13,2020-12-15,WOL,CHE,2,1
118,13,2020-12-15,MCI,WBA,1,1
119,13,2020-12-16,ARS,SOU,1,1
120,13,2020-12-16,FUL,BHA,0,0
121,13,2020-12-16,LEE,NEW,5,2
122,13,2020-12-16,LEI,EVE,0,2
123,13,2020-12-16,WHU,CRY,1,1
