id,matchday,date,home,away,fhg,fag
0,1,2025-08-15,LIV,BOU,4,2
1,1,2025-08-16,AVL,NEW,0,0
2,1,2025-08-16,BHA,FUL,1,1
3,1,2025-08-16,SUN,WHU,3,0
4,1,2025-08-16,TOT,BUR,3,0
5,1,2025-08-16,WOL,MCI,0,4
6,1,2025-08-17,NFO,BRE,3,1
7,1,2025-08-17,CHE,CRY,0,0
8,1,2025-08-17,MUN,ARS,0,1
9,1,2025-08-18,LEE,EVE,1,0
10,2,2025-08-22,WHU,CHE,1,5
11,2,2025-08-23,MCI,TOT,0,2
12,2,2025-08-23,BOU,WOL,1,0
13,2,2025-08-23,ARS,LEE,5,0
14,2,2025-08-23,BRE,AVL,1,0
15,2,2025-08-23,BUR,SUN,2,0
16,2,2025-08-24,FUL,MUN,1,1
17,2,2025-08-24,EVE,BHA,2,0
18,2,2025-08-24,CRY,NFO,1,1
19,2,2025-08-25,NEW,LIV,2,3
20,3,2025-08-30,CHE,FUL,2,0
21,3,2025-08-30,LEE,NEW,0,0
22,3,2025-08-30,MUN,BUR,3,2
23,3,2025-08-30,SUN,BRE,2,1
24,3,2025-08-30,TOT,BOU,0,1
25,3,2025-08-30,WOL,EVE,2,3
26,3,2025-08-31,AVL,CRY,0,3
27,3,2025-08-31,BHA,MCI,2,1
28,3,2025-08-31,LIV,ARS,1,0
29,3,2025-08-31,NFO,WHU,0,3
30,4,2025-09-13,ARS,NFO,3,0
31,4,2025-09-13,BOU,BHA,2,1
32,4,2025-09-13,BRE,CHE,2,2
33,4,2025-09-13,CRY,SUN,0,0
34,4,2025-09-13,EVE,AVL,0,0
35,4,2025-09-13,FUL,LEE,1,0
36,4,2025-09-13,NEW,WOL,1,0
37,4,2025-09-13,WHU,TOT,0,3
38,4,2025-09-14,BUR,LIV,0,1
39,4,2025-09-14,MCI,MUN,3,0
40,5,2025-09-20,BHA,TOT,2,2
41,5,2025-09-20,BUR,NFO,1,1
42,5,2025-09-20,FUL,BRE,3,1
43,5,2025-09-20,LIV,EVE,2,1
44,5,2025-09-20,MUN,CHE,2,1
45,5,2025-09-20,WHU,CRY,1,2
46,5,2025-09-20,WOL,LEE,1,3
47,5,2025-09-21,ARS,MCI,1,1
48,5,2025-09-21,BOU,NEW,0,0
49,5,2025-09-21,SUN,AVL,1,1
50,6,2025-09-27,BRE,MUN,3,1
51,6,2025-09-27,CHE,BHA,1,3
52,6,2025-09-27,CRY,LIV,2,1
53,6,2025-09-27,LEE,BOU,2,2
54,6,2025-09-27,MCI,BUR,5,1
55,6,2025-09-27,NFO,SUN,0,1
56,6,2025-09-27,TOT,WOL,1,1
57,6,2025-09-28,AVL,FUL,3,1
58,6,2025-09-28,NEW,ARS,1,2
59,6,2025-09-29,EVE,WHU,1,1
60,7,2025-10-03,BOU,FUL,3,1
61,7,2025-10-04,ARS,WHU,2,0
62,7,2025-10-04,CHE,LIV,2,1
63,7,2025-10-04,LEE,TOT,1,2
64,7,2025-10-04,MUN,SUN,2,0
65,7,2025-10-05,AVL,BUR,2,1
66,7,2025-10-05,BRE,MCI,0,1
67,7,2025-10-05,EVE,CRY,2,1
68,7,2025-10-05,NEW,NFO,2,0
69,7,2025-10-05,WOL,BHA,1,1
70,8,2025-10-18,BHA,NEW,2,1
71,8,2025-10-18,BUR,LEE,2,0
72,8,2025-10-18,CRY,BOU,3,3
73,8,2025-10-18,FUL,ARS,0,1
74,8,2025-10-18,MCI,EVE,2,0
75,8,2025-10-18,NFO,CHE,0,3
76,8,2025-10-18,SUN,WOL,2,0
77,8,2025-10-19,LIV,MUN,1,2
78,8,2025-10-19,TOT,AVL,1,2
79,8,2025-10-20,WHU,BRE,0,2
80,9,2025-10-24,LEE,WHU,2,1
81,9,2025-10-25,BRE,LIV,3,2
82,9,2025-10-25,CHE,SUN,1,2
83,9,2025-10-25,MUN,BHA,4,2
