id,player_id,player_name,from_club,to_club,fee,date
trf_582078_2025,,Will Dennis,,BOU,0.0,2026-06-30
trf_649452_2025,,Issa Kaboré,,MCI,0.0,2026-06-30
trf_654253_2025,,Toby Collyer,HUL,MUN,0.0,2026-06-30
trf_728734_2025,,Alfie Devine,,TOT,0.0,2026-06-30
trf_845321_2025,,Kaelan Casey,,WHU,0.0,2026-06-30
trf_854721_2025,,Ben Winterburn,,BOU,0.0,2026-06-30
trf_1011738_2025,,Harry Amass,NOR,MUN,0.0,2026-06-30
trf_568005_2025,,Jeremy Sarmiento,MID,BHA,0.0,2026-05-31
trf_568005_2025,,Jeremy Sarmiento,,BHA,0.0,2026-01-23
trf_1011738_2025,,Harry Amass,,MUN,0.0,2026-01-23
trf_584427_2025,,Kevin Lewis,,LIV,0.0,2026-01-15
trf_845321_2025,,Kaelan Casey,SWA,WHU,0.0,2026-01-15
trf_654253_2025,,Toby Collyer,WBA,MUN,0.0,2026-01-01
trf_845321_2025,,Kaelan Casey,,WHU,0.0,2025-07-01
