id,player_id,player_name,from_club,to_club,fee,date
trf_1082850_2023,,Deivid Washington,,CHE,13.8,2023-08-24
trf_504581_2023,,Ryan Giles,WOL,LUT,5.0,2023-07-28
trf_344830_2023,,Tahith Chong,BIR,LUT,4.0,2023-07-14
trf_407021_2023,,Mads Andersen,BAR,LUT,3.0,2023-07-03
trf_469958_2023,,Jacob Brown,STK,LUT,2.5,2023-08-10
trf_77757_2023,,Thomas Kaminski,BLB,LUT,2.5,2023-08-03
trf_324882_2023,,Marvelous Nakamba,AVL,LUT,2.5,2023-07-20
trf_424900_2023,,Tom Holmes,REA,LUT,1.0,2024-01-17
trf_80444_2023,,Philippe Coutinho,,AVL,0.0,2024-06-30
trf_217111_2023,,Hakim Ziyech,,CHE,0.0,2024-06-30
trf_392777_2023,,Jonathan Panzo,,NFO,0.0,2024-06-30
trf_431422_2023,,Nathan Trott,,WHU,0.0,2024-06-30
trf_512354_2023,,Malcolm Ebiowei,,CRY,0.0,2024-06-30
trf_528888_2023,,Tyrese Francois,,FUL,0.0,2024-06-30
trf_148262_2023,,Jeff Hendrick,,NEW,0.0,2024-05-31
trf_183293_2023,,Joe Rothwell,SOU,BOU,0.0,2024-05-31
trf_232964_2023,,Emiliano Marcondes,,BOU,0.0,2024-05-31
trf_239949_2023,,Jamal Lowe,SWA,BOU,0.0,2024-05-31
trf_314378_2023,,Admiral Muskwe,,LUT,0.0,2024-05-31
trf_346478_2023,,Japhet Tanganga,,TOT,0.0,2024-05-31
trf_371814_2023,,Nathaniel Phillips,CAR,LIV,0.0,2024-05-31
trf_376856_2023,,Charlie Goode,WIG,BRE,0.0,2024-05-31
trf_424900_2023,,Tom Holmes,REA,LUT,0.0,2024-05-31
trf_433818_2023,,Scott Twine,,BUR,0.0,2024-05-31
trf_444641_2023,,Louie Moulden,,WOL,0.0,2024-05-31
