id,matchday,date,home,away,fhg,fag
0,1,2023-08-11,BUR,MCI,0,3
1,1,2023-08-12,ARS,NFO,2,1
2,1,2023-08-12,BOU,WHU,1,1
3,1,2023-08-12,BHA,LUT,4,1
4,1,2023-08-12,EVE,FUL,0,1
5,1,2023-08-12,SHU,CRY,0,1
6,1,2023-08-12,NEW,AVL,5,1
7,1,2023-08-13,BRE,TOT,2,2
8,1,2023-08-13,CHE,LIV,1,1
9,1,2023-08-14,MUN,WOL,1,0
10,2,2023-08-18,NFO,SHU,2,1
11,2,2023-08-19,FUL,BRE,0,3
12,2,2023-08-19,LIV,BOU,3,1
13,2,2023-08-19,MCI,NEW,1,0
14,2,2023-08-19,TOT,MUN,2,0
15,2,2023-08-19,WOL,BHA,1,4
16,2,2023-08-20,AVL,EVE,4,0
17,2,2023-08-20,WHU,CHE,3,1
18,2,2023-08-21,CRY,ARS,0,1
19,3,2023-08-25,CHE,LUT,3,0
20,3,2023-08-26,BOU,TOT,0,2
21,3,2023-08-26,ARS,FUL,2,2
22,3,2023-08-26,BRE,CRY,1,1
23,3,2023-08-26,BHA,WHU,1,3
24,3,2023-08-26,EVE,WOL,0,1
25,3,2023-08-26,MUN,NFO,3,2
26,3,2023-08-27,BUR,AVL,1,3
27,3,2023-08-27,NEW,LIV,1,2
28,3,2023-08-27,SHU,MCI,1,2
29,4,2023-09-01,LUT,WHU,1,2
30,4,2023-09-02,BRE,BOU,2,2
31,4,2023-09-02,BHA,NEW,3,1
32,4,2023-09-02,BUR,TOT,2,5
33,4,2023-09-02,CHE,NFO,0,1
34,4,2023-09-02,MCI,FUL,5,1
35,4,2023-09-02,SHU,EVE,2,2
36,4,2023-09-03,ARS,MUN,3,1
37,4,2023-09-03,CRY,WOL,3,2
38,4,2023-09-03,LIV,AVL,3,0
39,5,2023-09-16,AVL,CRY,3,1
40,5,2023-09-16,MUN,BHA,1,3
41,5,2023-09-16,NEW,BRE,1,0
42,5,2023-09-16,TOT,SHU,2,1
43,5,2023-09-16,WHU,MCI,1,3
44,5,2023-09-16,WOL,LIV,1,3
45,5,2023-09-16,FUL,LUT,1,0
46,5,2023-09-17,BOU,CHE,0,0
47,5,2023-09-17,EVE,ARS,0,1
48,5,2023-09-18,NFO,BUR,1,1
49,6,2023-09-23,BRE,EVE,1,3
50,6,2023-09-23,BUR,MUN,0,1
51,6,2023-09-23,CRY,FUL,0,0
52,6,2023-09-23,LUT,WOL,1,1
53,6,2023-09-23,MCI,NFO,2,0
54,6,2023-09-24,ARS,TOT,2,2
55,6,2023-09-24,BHA,BOU,3,1
56,6,2023-09-24,CHE,AVL,0,1
57,6,2023-09-24,LIV,WHU,3,1
58,6,2023-09-24,SHU,NEW,0,8
59,7,2023-09-30,BOU,ARS,0,4
60,7,2023-09-30,AVL,BHA,6,1
61,7,2023-09-30,EVE,LUT,1,2
62,7,2023-09-30,MUN,CRY,0,1
63,7,2023-09-30,NEW,BUR,2,0
64,7,2023-09-30,TOT,LIV,2,1
65,7,2023-09-30,WHU,SHU,2,0
66,7,2023-09-30,WOL,MCI,2,1
67,7,2023-10-01,NFO,BRE,1,1
