id,player_id,player_name,from_club,to_club,fee,date
trf_164770_2021,,Raphaël Varane,,MUN,34.4,2021-08-14
trf_157509_2021,,Kurt Zouma,CHE,WHU,30.1,2021-08-28
trf_134294_2021,,Danny Ings,SOU,AVL,25.3,2021-08-04
trf_344605_2021,,Boubakary Soumaré,,LEI,17.2,2021-07-02
trf_635336_2021,,Imrân Louza,,WAT,8.6,2021-07-01
trf_121477_2021,,Craig Dawson,WAT,WHU,2.0,2021-07-01
trf_587002_2021,,Myles Peart-Harris,,BRE,1.3,2021-07-23
trf_568005_2021,,Jeremy Sarmiento,,BHA,0.5,2021-07-02
trf_110668_2021,,Laurens De Bock,,LEE,0.0,2022-06-30
trf_173900_2021,,Hélder Costa,,LEE,0.0,2022-06-30
trf_183720_2021,,Anwar El Ghazi,EVE,AVL,0.0,2022-06-30
trf_265078_2021,,Patrick Cutrone,,WOL,0.0,2022-06-30
trf_345587_2021,,Luka Racic,,BRE,0.0,2022-06-30
trf_415646_2021,,Bruno Jordão,,WOL,0.0,2022-06-30
trf_649452_2021,,Issa Kaboré,,MCI,0.0,2022-06-30
trf_120565_2021,,Andre Gray,QPR,WAT,0.0,2022-05-31
trf_148262_2021,,Jeff Hendrick,QPR,NEW,0.0,2022-05-31
trf_236510_2021,,Sheyi Ojo,,LIV,0.0,2022-05-31
trf_257097_2021,,Ben Davies,,LIV,0.0,2022-05-31
trf_260841_2021,,Daniel Iversen,,LEI,0.0,2022-05-31
trf_332341_2021,,Todd Cantwell,BOU,NOR,0.0,2022-05-31
trf_344830_2021,,Tahith Chong,BIR,MUN,0.0,2022-05-31
trf_371814_2021,,Nathaniel Phillips,BOU,LIV,0.0,2022-05-31
trf_376856_2021,,Charlie Goode,,BRE,0.0,2022-05-31
trf_444641_2021,,Louie Moulden,,WOL,0.0,2022-05-31
