id,matchday,date,home,away,fhg,fag
0,1,2021-08-13,BRE,ARS,2,0
1,1,2021-08-14,BUR,BHA,1,2
2,1,2021-08-14,CHE,CRY,3,0
3,1,2021-08-14,EVE,SOU,3,1
4,1,2021-08-14,LEI,WOL,1,0
5,1,2021-08-14,MUN,LEE,5,1
6,1,2021-08-14,NOR,LIV,0,3
7,1,2021-08-14,WAT,AVL,3,2
8,1,2021-08-15,NEW,WHU,2,4
9,1,2021-08-15,TOT,MCI,1,0
10,2,2021-08-21,AVL,NEW,2,0
11,2,2021-08-21,BHA,WAT,2,0
12,2,2021-08-21,CRY,BRE,0,0
13,2,2021-08-21,LEE,EVE,2,2
14,2,2021-08-21,LIV,BUR,2,0
15,2,2021-08-21,MCI,NOR,5,0
16,2,2021-08-22,ARS,CHE,0,2
17,2,2021-08-22,SOU,MUN,1,1
18,2,2021-08-22,WOL,TOT,0,1
19,2,2021-08-23,WHU,LEI,4,1
20,3,2021-08-28,AVL,BRE,1,1
21,3,2021-08-28,BHA,EVE,0,2
22,3,2021-08-28,LIV,CHE,1,1
23,3,2021-08-28,MCI,ARS,5,0
24,3,2021-08-28,NEW,SOU,2,2
25,3,2021-08-28,NOR,LEI,1,2
26,3,2021-08-28,WHU,CRY,2,2
27,3,2021-08-29,BUR,LEE,1,1
28,3,2021-08-29,TOT,WAT,1,0
29,3,2021-08-29,WOL,MUN,0,1
30,4,2021-09-11,ARS,NOR,1,0
31,4,2021-09-11,BRE,BHA,0,1
32,4,2021-09-11,CHE,AVL,3,0
33,4,2021-09-11,CRY,TOT,3,0
34,4,2021-09-11,LEI,MCI,0,1
35,4,2021-09-11,MUN,NEW,4,1
36,4,2021-09-11,SOU,WHU,0,0
37,4,2021-09-11,WAT,WOL,0,2
38,4,2021-09-12,LEE,LIV,0,3
39,4,2021-09-13,EVE,BUR,3,1
40,5,2021-09-17,NEW,LEE,1,1
41,5,2021-09-18,AVL,EVE,3,0
42,5,2021-09-18,BUR,ARS,0,1
43,5,2021-09-18,LIV,CRY,3,0
44,5,2021-09-18,MCI,SOU,0,0
45,5,2021-09-18,NOR,WAT,1,3
46,5,2021-09-18,WOL,BRE,0,2
47,5,2021-09-19,BHA,LEI,2,1
48,5,2021-09-19,TOT,CHE,0,3
49,5,2021-09-19,WHU,MUN,1,2
50,6,2021-09-25,BRE,LIV,3,3
51,6,2021-09-25,CHE,MCI,0,1
52,6,2021-09-25,EVE,NOR,2,0
53,6,2021-09-25,LEE,WHU,1,2
54,6,2021-09-25,LEI,BUR,2,2
55,6,2021-09-25,MUN,AVL,0,1
56,6,2021-09-25,WAT,NEW,1,1
57,6,2021-09-26,ARS,TOT,3,1
58,6,2021-09-26,SOU,WOL,0,1
59,6,2021-09-27,CRY,BHA,1,1
60,7,2021-10-02,BHA,ARS,0,0
61,7,2021-10-02,BUR,NOR,0,0
62,7,2021-10-02,CHE,SOU,3,1
63,7,2021-10-02,LEE,WAT,1,0
64,7,2021-10-02,MUN,EVE,1,1
65,7,2021-10-02,WOL,NEW,2,1
66,7,2021-10-03,CRY,LEI,2,2
67,7,2021-10-03,LIV,MCI,2,2
68,7,2021-10-03,TOT,AVL,2,1
69,7,2021-10-03,WHU,BRE,1,2
70,8,2021-10-16,AVL,WOL,2,3
71,8,2021-10-16,BRE,CHE,0,1
72,8,2021-10-16,LEI,MUN,4,2
73,8,2021-10-16,MCI,BUR,2,0
74,8,2021-10-16,NOR,BHA,0,0
75,8,2021-10-16,SOU,LEE,1,0
76,8,2021-10-16,WAT,LIV,0,5
77,8,2021-10-17,EVE,WHU,0,1
78,8,2021-10-17,NEW,TOT,2,3
79,8,2021-10-18,ARS,CRY,2,2
80,9,2021-10-22,ARS,AVL,3,1
81,9,2021-10-23,BHA,MCI,1,4
82,9,2021-10-23,CHE,NOR,7,0
83,9,2021-10-23,CRY,NEW,1,1
84,9,2021-10-23,EVE,WAT,2,5
85,9,2021-10-23,LEE,WOL,1,1
86,9,2021-10-23,SOU,BUR,2,2
87,9,2021-10-24,BRE,LEI,1,2
88,9,2021-10-24,MUN,LIV,0,5
89,9,2021-10-24,WHU,TOT,1,0
90,10,2021-10-30,BUR,BRE,3,1
91,10,2021-10-30,LEI,ARS,0,2
92,10,2021-10-30,LIV,BHA,2,2
93,10,2021-10-30,MCI,CRY,0,2
94,10,2021-10-30,NEW,CHE,0,3
95,10,2021-10-30,TOT,MUN,0,3
96,10,2021-10-30,WAT,SOU,0,1
97,10,2021-10-31,AVL,WHU,1,4
98,10,2021-10-31,NOR,LEE,1,2
99,10,2021-11-01,WOL,EVE,2,1
100,11,2021-11-05,SOU,AVL,1,0
101,11,2021-11-06,BRE,NOR,1,2
102,11,2021-11-06,BHA,NEW,1,1
103,11,2021-11-06,CHE,BUR,1,1
104,11,2021-11-06,CRY,WOL,2,0
