id,player_id,player_name,from_club,to_club,fee,date
trf_111630_2013,,Erik Lamela,,TOT,25.8,2013-08-30
trf_46104_2013,,Stevan Jovetic,,MCI,22.4,2013-07-19
trf_18644_2013,,Álvaro Negredo,,MCI,21.5,2013-07-17
trf_15956_2013,,Jesús Navas,,MCI,17.2,2013-07-01
trf_47713_2013,,Mamadou Sakho,,LIV,16.3,2013-09-02
trf_45333_2013,,James McCarthy,WIG,EVE,13.2,2013-09-02
trf_157509_2013,,Kurt Zouma,,CHE,12.6,2014-01-31
trf_63494_2013,,Étienne Capoue,,TOT,9.5,2013-08-15
trf_147034_2013,,Marco van Ginkel,,CHE,8.1,2013-07-04
trf_59631_2013,,Nacer Chadli,,TOT,7.0,2013-07-26
trf_128220_2013,,Luis Alberto,,LIV,6.9,2013-07-01
trf_71292_2013,,Jonjo Shelvey,LIV,SWA,5.0,2013-07-03
trf_63342_2013,,Leroy Fer,,NOR,4.7,2013-07-13
trf_196522_2013,,Dwight Gayle,,CRY,4.6,2013-07-03
trf_45494_2013,,Wayne Hennessey,WOL,CRY,3.1,2014-01-31
trf_245072_2013,,Stipe Perica,,CHE,2.1,2013-08-01
trf_33781_2013,,Vito Mannone,ARS,SUN,2.1,2013-07-03
trf_129078_2013,,Nathan Redmond,BIR,NOR,2.0,2013-07-04
trf_120095_2013,,José Campaña,,CRY,1.7,2013-07-18
trf_126516_2013,,Antonio Luna,,AVL,1.7,2013-07-01
trf_63422_2013,,David Moberg Karlsson,,SUN,1.5,2013-07-01
trf_102132_2013,,Nicklas Helenius,,AVL,1.3,2013-07-01
trf_7825_2013,,Pepe Reina,,LIV,0.0,2014-06-30
trf_66100_2013,,Oriol Romeu,,CHE,0.0,2014-06-30
trf_102427_2013,,Sebastián Coates,,LIV,0.0,2014-06-30
