id,matchday,date,home,away,fhg,fag
0,1,2013-08-17,WHU,CAR,2,0
1,1,2013-08-17,LIV,STK,1,0
2,1,2013-08-17,ARS,AVL,1,3
3,1,2013-08-17,NOR,EVE,2,2
4,1,2013-08-17,SUN,FUL,0,1
5,1,2013-08-17,WBA,SOU,0,1
6,1,2013-08-17,SWA,MUN,1,4
7,1,2013-08-18,CRY,TOT,0,1
8,1,2013-08-18,CHE,HUL,2,0
9,1,2013-08-19,MCI,NEW,4,0
10,3,2013-08-21,CHE,AVL,2,1
11,2,2013-08-24,SOU,SUN,1,1
12,2,2013-08-24,FUL,ARS,1,3
13,2,2013-08-24,EVE,WBA,0,0
14,2,2013-08-24,HUL,NOR,1,0
15,2,2013-08-24,NEW,WHU,0,0
16,2,2013-08-24,STK,CRY,2,1
17,2,2013-08-24,AVL,LIV,0,1
18,2,2013-08-25,CAR,MCI,3,2
19,2,2013-08-25,TOT,SWA,1,0
20,2,2013-08-26,MUN,CHE,0,0
21,3,2013-08-31,CAR,EVE,0,0
22,3,2013-08-31,MCI,HUL,2,0
23,3,2013-08-31,NEW,FUL,1,0
24,3,2013-08-31,NOR,SOU,1,0
25,3,2013-08-31,WHU,STK,0,1
26,3,2013-08-31,CRY,SUN,3,1
27,3,2013-09-01,WBA,SWA,0,2
28,3,2013-09-01,LIV,MUN,1,0
29,3,2013-09-01,ARS,TOT,1,0
30,4,2013-09-14,STK,MCI,0,0
31,4,2013-09-14,TOT,NOR,2,0
32,4,2013-09-14,MUN,CRY,2,0
33,4,2013-09-14,SUN,ARS,1,3
34,4,2013-09-14,EVE,CHE,1,0
35,4,2013-09-14,HUL,CAR,1,1
36,4,2013-09-14,AVL,NEW,1,2
37,4,2013-09-14,FUL,WBA,1,1
38,4,2013-09-15,SOU,WHU,0,0
39,4,2013-09-16,SWA,LIV,2,2
40,5,2013-09-21,WHU,EVE,2,3
41,5,2013-09-21,LIV,SOU,0,1
42,5,2013-09-21,NEW,HUL,2,3
43,5,2013-09-21,CHE,FUL,2,0
44,5,2013-09-21,NOR,AVL,0,1
45,5,2013-09-21,WBA,SUN,3,0
46,5,2013-09-22,CRY,SWA,0,2
47,5,2013-09-22,MCI,MUN,4,1
48,5,2013-09-22,CAR,TOT,0,1
49,5,2013-09-22,ARS,STK,3,1
50,6,2013-09-28,SWA,ARS,1,2
51,6,2013-09-28,FUL,CAR,1,2
52,6,2013-09-28,TOT,CHE,1,1
