id,player_id,player_name,from_club,to_club,fee,date
trf_90681_2014,,Eliaquim Mangala,,MCI,38.7,2014-08-11
trf_43530_2014,,Adam Lallana,SOU,LIV,26.7,2014-07-01
trf_144303_2014,,Lazar Markovic,,LIV,21.5,2014-07-15
trf_215118_2014,,Calum Chambers,SOU,ARS,17.4,2014-07-28
trf_45146_2014,,Mario Balotelli,,LIV,17.2,2014-08-25
trf_51174_2014,,Fernando,,MCI,12.9,2014-07-01
trf_36139_2014,,Dušan Tadić,,SOU,12.0,2014-07-08
trf_148368_2014,,Divock Origi,,LIV,10.9,2014-07-29
trf_90466_2014,,Gylfi Sigurdsson,TOT,SWA,8.7,2014-07-23
trf_45314_2014,,Federico Fazio,,TOT,8.6,2014-08-26
trf_63342_2014,,Leroy Fer,NOR,QPR,8.6,2014-08-20
trf_66934_2014,,Cheikhou Kouyaté,,WHU,6.5,2014-07-01
trf_207929_2014,,Dele Alli,,TOT,5.7,2015-02-02
trf_125868_2014,,Pape Souaré,,CRY,4.6,2015-02-01
trf_183318_2014,,Jamaal Lascelles,NFO,NEW,4.3,2014-08-09
trf_92571_2014,,Aaron Cresswell,IPS,WHU,4.1,2014-07-03
trf_40613_2014,,Jack Cork,SOU,SWA,3.4,2015-01-30
trf_95976_2014,,Alex McCarthy,REA,QPR,3.3,2014-08-29
trf_121686_2014,,Cristian Gamboa,,WBA,2.1,2014-08-05
trf_189070_2014,,Modou Barrow,,SWA,1.6,2014-09-01
trf_128909_2014,,Jack Robinson,LIV,QPR,1.1,2014-08-28
trf_18644_2014,,Álvaro Negredo,,MCI,0.0,2015-06-30
trf_33706_2014,,Nani,,MUN,0.0,2015-06-30
trf_66100_2014,,Oriol Romeu,,CHE,0.0,2015-06-30
trf_102132_2014,,Nicklas Helenius,,AVL,0.0,2015-06-30
