id,matchday,date,home,away,fhg,fag
0,1,2014-08-16,ARS,CRY,2,1
1,1,2014-08-16,LEI,EVE,2,2
2,1,2014-08-16,MUN,SWA,1,2
3,1,2014-08-16,QPR,HUL,0,1
4,1,2014-08-16,STK,AVL,0,1
5,1,2014-08-16,WBA,SUN,2,2
6,1,2014-08-16,WHU,TOT,0,1
7,1,2014-08-17,LIV,SOU,2,1
8,1,2014-08-17,NEW,MCI,0,2
9,1,2014-08-18,BUR,CHE,1,3
10,2,2014-08-23,AVL,NEW,0,0
11,2,2014-08-23,CHE,LEI,2,0
12,2,2014-08-23,CRY,WHU,1,3
13,2,2014-08-23,SOU,WBA,0,0
14,2,2014-08-23,SWA,BUR,1,0
15,2,2014-08-23,EVE,ARS,2,2
16,2,2014-08-24,HUL,STK,1,1
17,2,2014-08-24,TOT,QPR,4,0
18,2,2014-08-24,SUN,MUN,1,1
19,2,2014-08-25,MCI,LIV,3,1
20,3,2014-08-30,BUR,MUN,0,0
21,3,2014-08-30,MCI,STK,0,1
22,3,2014-08-30,NEW,CRY,3,3
23,3,2014-08-30,QPR,SUN,1,0
24,3,2014-08-30,SWA,WBA,3,0
25,3,2014-08-30,WHU,SOU,1,3
26,3,2014-08-30,EVE,CHE,3,6
27,3,2014-08-31,AVL,HUL,2,1
28,3,2014-08-31,TOT,LIV,0,3
29,3,2014-08-31,LEI,ARS,1,1
30,4,2014-09-13,ARS,MCI,2,2
31,4,2014-09-13,CHE,SWA,4,2
32,4,2014-09-13,CRY,BUR,0,0
33,4,2014-09-13,SOU,NEW,4,0
34,4,2014-09-13,STK,LEI,0,1
35,4,2014-09-13,SUN,TOT,2,2
36,4,2014-09-13,WBA,EVE,0,2
37,4,2014-09-13,LIV,AVL,0,1
38,4,2014-09-14,MUN,QPR,4,0
39,4,2014-09-15,HUL,WHU,2,2
40,5,2014-09-20,QPR,STK,2,2
41,5,2014-09-20,AVL,ARS,0,3
42,5,2014-09-20,BUR,SUN,0,0
43,5,2014-09-20,NEW,HUL,2,2
44,5,2014-09-20,SWA,SOU,0,1
45,5,2014-09-20,WHU,LIV,3,1
46,5,2014-09-21,TOT,WBA,0,1
47,5,2014-09-21,LEI,MUN,5,3
48,5,2014-09-21,EVE,CRY,2,3
49,5,2014-09-21,MCI,CHE,1,1
50,6,2014-09-27,LIV,EVE,1,1
51,6,2014-09-27,CHE,AVL,3,0
52,6,2014-09-27,CRY,LEI,2,0
53,6,2014-09-27,HUL,MCI,2,4
54,6,2014-09-27,MUN,WHU,2,1
55,6,2014-09-27,SOU,QPR,2,1
56,6,2014-09-27,SUN,SWA,0,0
57,6,2014-09-27,ARS,TOT,1,1
58,6,2014-09-28,WBA,BUR,4,0
59,6,2014-09-29,STK,NEW,1,0
60,7,2014-10-04,HUL,CRY,2,0
61,7,2014-10-04,LEI,BUR,2,2
62,7,2014-10-04,LIV,WBA,2,1
63,7,2014-10-04,SUN,STK,3,1
64,7,2014-10-04,SWA,NEW,2,2
65,7,2014-10-04,AVL,MCI,0,2
66,7,2014-10-05,TOT,SOU,1,0
67,7,2014-10-05,MUN,EVE,2,1
68,7,2014-10-05,CHE,ARS,2,0
69,7,2014-10-05,WHU,QPR,2,0
70,8,2014-10-18,MCI,TOT,4,1
71,8,2014-10-18,ARS,HUL,2,2
72,8,2014-10-18,BUR,WHU,1,3
73,8,2014-10-18,CRY,CHE,1,2
74,8,2014-10-18,EVE,AVL,3,0
75,8,2014-10-18,NEW,LEI,1,0
76,8,2014-10-18,SOU,SUN,8,0
77,8,2014-10-19,QPR,LIV,2,3
78,8,2014-10-19,STK,SWA,2,1
79,8,2014-10-20,WBA,MUN,2,2
80,9,2014-10-25,WBA,CRY,2,2
81,9,2014-10-25,LIV,HUL,0,0
82,9,2014-10-25,SOU,STK,1,0
83,9,2014-10-25,SUN,ARS,0,2
84,9,2014-10-25,WHU,MCI,2,1
85,9,2014-10-25,SWA,LEI,2,0
86,9,2014-10-26,TOT,NEW,1,2
87,9,2014-10-26,BUR,EVE,1,3
88,9,2014-10-26,MUN,CHE,1,1
89,9,2014-10-27,QPR,AVL,2,0
90,10,2014-11-01,NEW,LIV,1,0
91,10,2014-11-01,ARS,BUR,3,0
92,10,2014-11-01,CHE,QPR,2,1
93,10,2014-11-01,EVE,SWA,0,0
94,10,2014-11-01,HUL,SOU,0,1
95,10,2014-11-01,LEI,WBA,0,1
96,10,2014-11-01,STK,WHU,2,2
97,10,2014-11-02,MCI,MUN,1,0
98,10,2014-11-02,AVL,TOT,1,2
99,10,2014-11-03,CRY,SUN,1,3
100,11,2014-11-08,LIV,CHE,1,2
101,11,2014-11-08,BUR,HUL,1,0
102,11,2014-11-08,MUN,CRY,1,0
103,11,2014-11-08,QPR,MCI,2,2
104,11,2014-11-08,SOU,LEI,2,0
105,11,2014-11-08,WHU,AVL,0,0
106,11,2014-11-09,TOT,STK,1,2
107,11,2014-11-09,SUN,EVE,1,1
108,11,2014-11-09,WBA,NEW,0,2
109,11,2014-11-09,SWA,ARS,2,1
110,12,2014-11-22,CHE,WBA,2,0
111,12,2014-11-22,EVE,WHU,2,1
112,12,2014-11-22,LEI,SUN,0,0
113,12,2014-11-22,MCI,SWA,2,1
114,12,2014-11-22,NEW,QPR,1,0
115,12,2014-11-22,STK,BUR,1,2
116,12,2014-11-22,ARS,MUN,1,2
117,12,2014-11-23,CRY,LIV,3,1
118,12,2014-11-23,HUL,TOT,1,2
119,12,2014-11-24,AVL,SOU,1,1
120,13,2014-11-29,WBA,ARS,0,1
121,13,2014-11-29,BUR,AVL,1,1
122,13,2014-11-29,LIV,STK,1,0
123,13,2014-11-29,MUN,HUL,3,0
124,13,2014-11-29,QPR,LEI,3,2
125,13,2014-11-29,SWA,CRY,1,1
126,13,2014-11-29,WHU,NEW,1,0
127,13,2014-11-29,SUN,CHE,0,0
128,13,2014-11-30,SOU,MCI,0,3
129,13,2014-11-30,TOT,EVE,2,1
130,14,2014-12-02,BUR,NEW,1,1
131,14,2014-12-02,LEI,LIV,1,3
132,14,2014-12-02,MUN,STK,2,1
133,14,2014-12-02,SWA,QPR,2,0
134,14,2014-12-02,CRY,AVL,0,1
135,14,2014-12-02,WBA,WHU,1,2
136,14,2014-12-03,ARS,SOU,1,0
137,14,2014-12-03,CHE,TOT,3,0
138,14,2014-12-03,EVE,HUL,1,1
139,14,2014-12-03,SUN,MCI,1,4
140,15,2014-12-06,HUL,WBA,0,0
141,15,2014-12-06,LIV,SUN,0,0
142,15,2014-12-06,MCI,EVE,1,0
143,15,2014-12-06,NEW,CHE,2,1
144,15,2014-12-06,QPR,BUR,2,0
145,15,2014-12-06,STK,ARS,3,2
146,15,2014-12-06,TOT,CRY,0,0
147,15,2014-12-07,AVL,LEI,2,1
148,15,2014-12-07,WHU,SWA,3,1
149,15,2014-12-08,SOU,MUN,1,2
150,16,2014-12-13,ARS,NEW,4,1
151,16,2014-12-13,BUR,SOU,1,0
152,16,2014-12-13,CHE,HUL,2,0
153,16,2014-12-13,CRY,STK,1,1
154,16,2014-12-13,LEI,MCI,0,1
155,16,2014-12-13,SUN,WHU,1,1
156,16,2014-12-13,WBA,AVL,1,0
157,16,2014-12-14,MUN,LIV,3,0
158,16,2014-12-14,SWA,TOT,1,2
159,16,2014-12-15,EVE,QPR,3,1
160,17,2014-12-20,AVL,MUN,1,1
161,17,2014-12-20,HUL,SWA,0,1
162,17,2014-12-20,MCI,CRY,3,0
163,17,2014-12-20,QPR,WBA,3,2
164,17,2014-12-20,SOU,EVE,3,0
165,17,2014-12-20,TOT,BUR,2,1
166,17,2014-12-20,WHU,LEI,2,0
167,17,2014-12-21,LIV,ARS,2,2
168,17,2014-12-21,NEW,SUN,0,1
169,17,2014-12-22,STK,CHE,0,2
170,18,2014-12-26,ARS,QPR,2,1
171,18,2014-12-26,BUR,LIV,0,1
172,18,2014-12-26,CHE,WHU,2,0
173,18,2014-12-26,CRY,SOU,1,3
174,18,2014-12-26,EVE,STK,0,1
175,18,2014-12-26,LEI,TOT,1,2
176,18,2014-12-26,MUN,NEW,3,1
177,18,2014-12-26,SUN,HUL,1,3
178,18,2014-12-26,SWA,AVL,1,0
179,18,2014-12-26,WBA,MCI,1,3
180,19,2014-12-28,AVL,SUN,0,0
181,19,2014-12-28,HUL,LEI,0,1
182,19,2014-12-28,MCI,BUR,2,2
183,19,2014-12-28,NEW,EVE,3,2
184,19,2014-12-28,QPR,CRY,0,0
185,19,2014-12-28,SOU,CHE,1,1
186,19,2014-12-28,STK,WBA,2,0
187,19,2014-12-28,TOT,MUN,0,0
188,19,2014-12-28,WHU,ARS,1,2
189,19,2014-12-29,LIV,SWA,4,1
190,20,2015-01-01,AVL,CRY,0,0
191,20,2015-01-01,HUL,EVE,2,0
192,20,2015-01-01,LIV,LEI,2,2
193,20,2015-01-01,MCI,SUN,3,2
194,20,2015-01-01,NEW,BUR,3,3
195,20,2015-01-01,QPR,SWA,1,1
196,20,2015-01-01,SOU,ARS,2,0
197,20,2015-01-01,STK,MUN,1,1
198,20,2015-01-01,TOT,CHE,5,3
199,20,2015-01-01,WHU,WBA,1,1
200,21,2015-01-10,BUR,QPR,2,1
201,21,2015-01-10,CHE,NEW,2,0
202,21,2015-01-10,CRY,TOT,2,1
203,21,2015-01-10,EVE,MCI,1,1
204,21,2015-01-10,LEI,AVL,1,0
205,21,2015-01-10,SUN,LIV,0,1
206,21,2015-01-10,SWA,WHU,1,1
207,21,2015-01-10,WBA,HUL,1,0
208,21,2015-01-11,ARS,STK,3,0
209,21,2015-01-11,MUN,SOU,0,1
210,22,2015-01-17,AVL,LIV,0,2
211,22,2015-01-17,BUR,CRY,2,3
212,22,2015-01-17,LEI,STK,0,1
213,22,2015-01-17,NEW,SOU,1,2
214,22,2015-01-17,QPR,MUN,0,2
215,22,2015-01-17,SWA,CHE,0,5
216,22,2015-01-17,TOT,SUN,2,1
217,22,2015-01-18,MCI,ARS,0,2
218,22,2015-01-18,WHU,HUL,3,0
219,22,2015-01-19,EVE,WBA,0,0
220,23,2015-01-31,CHE,MCI,1,1
221,23,2015-01-31,CRY,EVE,0,1
222,23,2015-01-31,HUL,NEW,0,3
223,23,2015-01-31,LIV,WHU,2,0
224,23,2015-01-31,MUN,LEI,3,1
225,23,2015-01-31,STK,QPR,3,1
226,23,2015-01-31,SUN,BUR,2,0
227,23,2015-01-31,WBA,TOT,0,3
228,23,2015-02-01,ARS,AVL,5,0
229,23,2015-02-01,SOU,SWA,0,1
230,24,2015-02-07,AVL,CHE,1,2
231,24,2015-02-07,EVE,LIV,0,0
232,24,2015-02-07,LEI,CRY,0,1
233,24,2015-02-07,MCI,HUL,1,1
234,24,2015-02-07,QPR,SOU,0,1
235,24,2015-02-07,SWA,SUN,1,1
236,24,2015-02-07,TOT,ARS,2,1
237,24,2015-02-08,BUR,WBA,2,2
238,24,2015-02-08,NEW,STK,1,1
239,24,2015-02-08,WHU,MUN,1,1
240,25,2015-02-10,ARS,LEI,2,1
241,25,2015-02-10,HUL,AVL,2,0
242,25,2015-02-10,LIV,TOT,3,2
243,25,2015-02-10,SUN,QPR,0,2
244,25,2015-02-11,MUN,BUR,3,1
245,25,2015-02-11,SOU,WHU,0,0
246,25,2015-02-11,CRY,NEW,1,1
247,25,2015-02-11,WBA,SWA,2,0
248,25,2015-02-11,CHE,EVE,1,0
249,25,2015-02-11,STK,MCI,1,4
250,26,2015-02-21,AVL,STK,1,2
251,26,2015-02-21,CHE,BUR,1,1
252,26,2015-02-21,CRY,ARS,1,2
253,26,2015-02-21,HUL,QPR,2,1
254,26,2015-02-21,MCI,NEW,5,0
255,26,2015-02-21,SUN,WBA,0,0
256,26,2015-02-21,SWA,MUN,2,1
257,26,2015-02-22,EVE,LEI,2,2
258,26,2015-02-22,SOU,LIV,0,2
259,26,2015-02-22,TOT,WHU,2,2
260,27,2015-02-28,BUR,SWA,0,1
261,27,2015-02-28,MUN,SUN,2,0
262,27,2015-02-28,NEW,AVL,1,0
263,27,2015-02-28,STK,HUL,1,0
264,27,2015-02-28,WBA,SOU,1,0
265,27,2015-02-28,WHU,CRY,1,3
266,27,2015-03-01,ARS,EVE,2,0
267,27,2015-03-01,LIV,MCI,2,1
268,28,2015-03-03,AVL,WBA,2,1
269,28,2015-03-03,HUL,SUN,1,1
270,28,2015-03-03,SOU,CRY,1,0
271,28,2015-03-04,QPR,ARS,1,2
272,28,2015-03-04,WHU,CHE,0,1
273,28,2015-03-04,LIV,BUR,2,0
274,28,2015-03-04,MCI,LEI,2,0
275,28,2015-03-04,NEW,MUN,0,1
276,28,2015-03-04,STK,EVE,2,0
277,28,2015-03-04,TOT,SWA,3,2
278,27,2015-03-07,QPR,TOT,1,2
279,29,2015-03-14,ARS,WHU,3,0
280,29,2015-03-14,BUR,MCI,1,0
281,29,2015-03-14,CRY,QPR,3,1
282,29,2015-03-14,LEI,HUL,0,0
283,29,2015-03-14,SUN,AVL,0,4
284,29,2015-03-14,WBA,STK,1,0
285,29,2015-03-15,CHE,SOU,1,1
286,29,2015-03-15,EVE,NEW,3,0
287,29,2015-03-15,MUN,TOT,3,0
