id,player_id,player_name,from_club,to_club,fee,date
trf_143559_2012,,Matija Nastasić,,MCI,13.1,2012-08-31
trf_80444_2012,,Philippe Coutinho,,LIV,11.2,2013-01-30
trf_43250_2012,,Jan Vertonghen,,TOT,10.8,2012-07-12
trf_59866_2012,,Victor Moses,WIG,CHE,9.9,2012-08-24
trf_90466_2012,,Gylfi Sigurdsson,,TOT,8.6,2012-07-04
trf_53360_2012,,Jay Rodríguez,BUR,SOU,7.4,2012-07-01
trf_189740_2012,,Ángelo Henríquez,,MUN,4.7,2012-08-15
trf_73734_2012,,Steven Nzonzi,BLB,STK,3.8,2012-08-31
trf_58993_2012,,Junior Hoilett,BLB,QPR,3.2,2012-07-27
trf_28973_2012,,Steven Davis,,SOU,0.9,2012-07-06
trf_88721_2012,,Jeffrey Bruma,,CHE,0.0,2013-06-30
trf_131708_2012,,Kenneth Omeruo,,CHE,0.0,2013-06-30
trf_153427_2012,,Bebé,,MUN,0.0,2013-06-30
trf_156941_2012,,John Lundstram,,EVE,0.0,2013-06-30
trf_176485_2012,,Lucas Piazón,,CHE,0.0,2013-06-30
trf_61842_2012,,Andros Townsend,QPR,TOT,0.0,2013-05-31
trf_111036_2012,,Mehdi Abeid,,NEW,0.0,2013-05-31
trf_128909_2012,,Jack Robinson,WOL,LIV,0.0,2013-05-31
trf_170321_2012,,Paul Dummett,,NEW,0.0,2013-05-31
trf_173750_2012,,Nouha Dicko,WOL,WIG,0.0,2013-05-31
trf_189740_2012,,Ángelo Henríquez,WIG,MUN,0.0,2013-05-31
trf_61838_2012,,Jonathan Obika,CHA,TOT,0.0,2013-05-05
trf_200777_2012,,Alex Pritchard,,TOT,0.0,2013-05-05
trf_121477_2012,,Craig Dawson,BOL,WBA,0.0,2013-04-27
trf_61842_2012,,Andros Townsend,TOT,QPR,0.0,2013-01-31
